npc_name,ge_page_title,join_pass,client_display_name,actor_id_count,actor_ids,actor_id_prefixes,race,clan,gender,occupation,affiliation,zones,map_coords
Damielliot,Damielliot (1.x),exact,damielliot,3,1000853 1000854 1001516,10,Elezen,Wildwood Elezen,Male,,Ul'dah,Ul'dah,
Danyell,Danyell,exact,danyell,1,1600095,16,Hyur,Midlander,Male,Merchant,Limsa Lominsa,Eastern La Noscea,36-20
Dapper Dan,Dapper Dan,exact,dapper dan,1,1001493,10,Lalafell,Plainsfolk,Male,,Ul'dah,Ul'dah Opening,4-7
Dariustel,Dariustel,exact,dariustel,1,1001467,10,Hyur,,Male,Gladiatorial Combatant,Ul'dah,Ul'dah,5-5
Dauid,Dauid,exact,dauid,1,1600137,16,Hyur,Midlander,Male,Merchant,,Western La Noscea,6-16
Davyd,Davyd,exact,davyd,1,1000343,10,Hyur,,Male,,Limsa Lominsa,Limsa Lominsa,6-5
Deaustie,Deaustie,exact,deaustie,1,1000293,10,Elezen,,Female,,Ul'dah,Ul'dah,7-6
Debauched Daemoness,Debauched Daemoness,spelling-folded,debauched demoness,1,1001492,10,Miqo'te,Seekers of the Sun,Female,,Ul'dah,Ul'dah Opening,4-7
Debonair Pirate,Debonair Pirate,exact,debonair pirate,1,1000077,10,Lalafell,Dunesfolk,Male,,Limsa Lominsa,Limsa Lominsa,5-7
Decima,Decima,exact,decima,1,1000622,10,Hyur,Midlander,Female,,Gridania,Gridania,5-5
Dedeyadi,Dedeyadi,exact,dedeyadi,1,1500272,15,Lalafell,Plainsfolk,Male,,Ul'dah,Eastern Thanalan,38-19
Delado Madalado,Delado Madalado,exact,delado madalado,1,1000620,10,Lalafell,,Male,,,Limsa Lominsa,4-5
Densa Ibunsa,Densa Ibunsa,exact,densa ibunsa,2,1500297 1500410,15,Lalafell,Plainsfolk,Male,Mercantile House Representative,Gridania,Gridanian Mercantile House,1-1
Derwin,Derwin,exact,derwin,1,1500279,15,Hyur,Midlander,Male,,,Western Thanalan,9-27
Deryk,Deryk,exact,deryk,1,1500104,15,Hyur,Midlander,Male,Quartermaster,Ishgard,Coerthas Central Highlands,18-39
Dhemdaeg,Dhemdaeg,exact,dhemdaeg,1,1000567,10,Roegadyn,,Male,,Gridania,Gridania,7-2
Dhemsunn,Dhemsunn,exact,dhemsunn,1,1000193,10,Roegadyn,,Male,,Limsa Lominsa,Limsa Lominsa,4-7
Didiwai,Didiwai,exact,didiwai,1,1500007,15,Lalafell,,Male,Gatewarden,Limsa Lominsa,Lower La Noscea,25-29
Diego Athral,Diego Athral,exact,diego athral,1,1500122,15,Hyur,,Male,,Limsa Lominsa,Limsa Lominsa,
Diggy,Diggy,exact,diggy,1,1001591,10,Spriggan,,,Event NPC,,Gridania,6-5
Diluxio,Diluxio,exact,diluxio,1,1001178,10,Sylph,,,,,Merchants Ward,
Diriaine,Diriaine,exact,diriaine,1,1001475,10,Elezen,Duskwight Elezen,Female,Dancer,Ul'dah,Ul'dah,6-6
Disconcerted Miner,Disconcerted Miner,exact,disconcerted miner,2,1000693 1700016,10 17,Lalafell,Dunesfolk,Female,Miner,Ul'dah,Ul'dah,6-6
Disgruntled Pirate,Disgruntled Pirate,exact,disgruntled pirate,2,1000087 1000874,10,Hyur,Midlanders,Male,,Limsa Lominsa,Limsa Lominsa,2-6
Dispassionate Resistance Member,Dispassionate Resistance Member,exact,dispassionate resistance member,1,1000480,10,Lalafell,,Male,,Ala Mhigo,,
Disreputable Midlander,Disreputable Midlander,exact,disreputable midlander,1,1001044,10,Hyur,Midlanders,Male,,Ul'dah,Ul'dah Opening,4-7
Diving Eagle,Diving Eagle,exact,diving eagle,1,1500429,15,Roegadyn,,Male,Merchant,Ul'dah,Ul'dahn Mercantile House,1-1
Dodoroba,Dodoroba,exact,dodoroba,1,1000196,10,Lalafell,,Male,,Limsa Lominsa,Limsa Lominsa,4-5
Doelle,Doelle,exact,doelle,1,1600076,16,Elezen,Wildwood Elezen,Female,Merchant,Gridania,Gridania,8-5
Doesdornn,Doesdornn,exact,doesdornn,1,1600046,16,Roegadyn,Sea Wolves,Male,Merchant,Ul'dah,Ul'dah,7-4
Doesfolg,Doesfolg,exact,doesfolg,1,1500074,15,Roegadyn,,Male,Gatewarden,Ul'dah,Eastern Thanalan,39-25
Dokixia,Dokixia,exact,dokixia,2,1001238 1001517,10,Sylph,,,,,East Shroud,
Doyoh Lihzeh,Doyoh Lihzeh,exact,doyoh lihzeh,1,1001845,10,Miqo'te,Seeker of the Sun,Female,Event NPC,,Gridania,6-5
Dozol Meloc,Dozol Meloc,exact,dozol meloc,1,1060037,10,Ixtal,,Male,,,Western Thanalan,11-28
Dracht,Dracht,other-locale,storm private dracht,2,1001618 1002104,10,Hyur,Midlander,Female,Event NPC,Limsa Lominsa,Limsa Lominsa,7-6
Drest,Drest (1.x),exact,drest,1,1500151,15,Hyur,Midlander,Male,Merchant,Gridania,Spellcraft Den,1-1
Dreues,Dreues,exact,dreues,1,1000402,10,Hyur,,Male,,Ul'dah,Ul'dah,5-4
Drew,Drew,exact,drew,1,1000659,10,Hyur,Midlander,Male,,Ul'dah,Ul'dah,7-5
Drividot,Drividot,exact,drividot,1,1000433,10,Elezen,Duskwight Elezen,Male,,Gridania,Gridania,6-6
Drowsy Drunkard,Drowsy Drunkard,exact,drowsy drunkard,1,6000342,60,Roegadyn,Sea Wolves,Male,,Ul'dah,Ul'dah,
Drowsy-eyed Adventurer,Drowsy-eyed Adventurer,exact,drowsy-eyed adventurer,1,1000282,10,Lalafell,,Female,,Limsa Lominsa,Limsa Lominsa,4-5
Drybone Battlewarden,Drybone Battlewarden,exact,drybone battlewarden,1,1500024,15,Hyur,Highlander,Male,Battlewarden,Ul'dah,Eastern Thanalan,40-26
Drystan,Drystan,exact,drystan,1,1001344,10,Hyur,Highlander,Male,Wood Wailer,Gridania,North Shroud,24-13
Duchesnelt,Duchesnelt,exact,duchesnelt,1,1001303,10,Elezen,Wildwood Elezen,Male,,Limsa Lominsa,Western La Noscea,12-23
Dunstan,Dunstan,exact,dunstan,2,1000013 1001880,10,Hyur,Midlander,Male,,,,
Duplicitous Trader,Duplicitous Trader,exact,duplicitous trader,1,1000076,10,Elezen,Wildwood Elezen,Male,,Limsa Lominsa,Limsa Lominsa,5-7
Dural Tharal,Dural Tharal,exact,dural tharal,2,1002101 1500267,10 15,Lalafell,Plainsfolk,Male,,Ul'dah,Ul'dah,6-3
Duvicauroix,Duvicauroix,exact,duvicauroix,1,1500401,15,Elezen,Duskwight Elezen,Male,Repair Merchant,Limsa Lominsa,Lominsan Mercantile House,1-1
Dylise,Dylise (1.x),exact,dylise,1,1001201,10,Elezen,,Female,,Ul'dah,Ul'dah,7-6
Dympna Tinstyll,Dympna,exact,dympna,1,1000331,10,Hyur,Midlander,Female,,Limsa Lominsa,Limsa Lominsa,7-6
Dyrstbrod,Dyrstbrod,exact,dyrstbrod,1,1001079,10,Roegadyn,,Male,,Gridania,Gridania,7-3
Dyrstweitz,Dyrstweitz,exact,dyrstweitz,1,1001154,10,Roegadyn,Sea Wolves,Male,,Ishgard,Coerthas Central Highlands,36-25
E'bandala,E'bandala Sweetmane,exact,e'bandala,1,1001311,10,Miqo'te,Seekers of the Sun,Female,,,Eastern La Noscea,31-18
E'dasshym,E'dasshym,exact,e'dasshym,1,1000437,10,Miqo'te,Seekers of the Sun,Female,,Gridania,Gridania,6-6
E'ptolmi,E'ptolmi,exact,e'ptolmi,1,1000615,10,Miqo'te,Keepers of the Moon,Female,Quartermaster,Limsa Lominsa,Western La Noscea,15-18
Eadbert,Eadbert,exact,eadbert,1,1001345,10,Hyur,Midlander,Male,Wood Wailer,Gridania,North Shroud,24-13
Eara,Eara,exact,eara,1,1001770,10,Hyur,Midlander,Female,,Ul'dah,Ul'dah,2-1
Ebrelnaux,Ebrelnaux (1.x),exact,ebrelnaux,1,1060011,10,Elezen,Duskwight Elezen,Male,,,Mor Dhona,16-21
Eburhart,Eburhart,exact,eburhart,1,1000629,10,Hyur,Highlander,Male,,Gridania,Gridania,4-3
Edekin,Edekin,exact,edekin,1,1001003,10,Hyur,Midlander,Female,Pirate,Limsa Lominsa,,
Edine,Edine,exact,edine,1,1500394,15,Hyur,Midlander,Female,Mercantile House Representative,Ul'dah,Ul'dah,6-5
Edwyn,Edwyn (1.0),exact,edwyn,1,1600096,16,Hyur,Midlander,Male,Merchant,Gridania,South Shroud,38-49
Eginolf,Eginolf (1.x),exact,eginolf,1,1500262,15,Hyur,Midlander,Male,Repair Merchant,Gridania,South Shroud,35-43
Elde,Elde,exact,elde,1,1001359,10,Elezen,Wildwood Elezen,Female,,,Coerthas Eastern Lowlands,62-34
Eldid,Eldid,exact,eldid,1,1001469,10,Hyur,Midlander,Female,,Gridania,Gridania,4-4
Eleanor,Eleanor,exact,eleanor,1,1001565,10,Hyur,,Female,,Ul'dah,Ul'dah,4-5
Elecotte,Elecotte,exact,elecotte,2,1000950 9114414,10 91,Elezen,,Female,,Ul'dah,Ul'dah,6-6
Elgiva,Elgiva,exact,elgiva,1,1600045,16,Hyur,Midlander,Female,Merchant,Ul'dah,Ul'dah,6-4
Elilwaen,Elilwaen,exact,elilwaen,1,1000195,10,Roegadyn,Sea Wolf,Male,,Limsa Lominsa,Limsa Lominsa,4-5
Flame Marshal Roaille,Eline Roaille,exact,flame marshal roaille,1,1060026,10,Elezen,Duskwight Elezen,Female,Flame Marshal,Ul'dah,Ul'dah,1-1
Elvide,Elvide,exact,elvide,1,1500236,15,Elezen,,Female,,Ul'dah,Central Thanalan,27-25
Elyn,Elyn,exact,elyn,2,1000411 1700023,10 17,Hyur,Midlander,Female,Youngling,Gridania,Gridania,5-5
Emerald Moss Battlewarden,Emerald Moss Battlewarden,exact,emerald moss battlewarden,1,1500036,15,Roegadyn,,Male,Battlewarden,,North Shroud,18-16
Emerick,Emerick,exact,emerick,2,1000007 1001866,10,Hyur,Midlanders,Male,,Limsa Lominsa,Limsa Lominsa,2-6
Eminne,Eminne,exact,eminne,1,1600088,16,Elezen,Duskwight Elezen,Female,Merchant,Ul'dah,Ul'dah,6-6
Emoni,Emoni,exact,emoni,1,1001183,10,Hyur,Midlanders,Female,,Gridania,Gridania,6-6
Enie,Enie (1.x),exact,enie,1,1001806,10,Hyur,Midlander,Female,,Gridania,Gridania,4-3
Enraptured Traveler,Enraptured Traveler,exact,enraptured traveler,1,1000255,10,Roegadyn,Sea Wolves,Male,,Limsa Lominsa,Limsa Lominsa,6-3
Eormengild,Eormengild,exact,eormengild,1,1600053,16,Hyur,Midlander,Female,Merchant,Ul'dah,Ul'dah,6-4
Eosilie,Eosilie,exact,eosilie,1,1600004,16,Elezen,Wildwood Elezen,Female,Merchant,Limsa Lominsa,Limsa Lominsa,6-5
Erik,Erik,exact,erik,1,1060033,10,Hyur,Midlander,Male,,Ul'dah,Ul'dah,7-3
Ermiance,Ermiance,exact,ermiance,1,1001363,10,Elezen,,Female,,,,
Esperaunce,Esperaunce,exact,esperaunce,1,1000954,10,Hyur,Midlander,Male,,Ul'dah,Ul'dah,6-6
Estrilda,Estrilda,exact,estrilda,1,1000273,10,Hyur,Midlander,Female,,Limsa Lominsa,Limsa Lominsa,5-7
Etgar,Etgar (1.0),exact,etgar,1,1600133,16,Hyur,Midlander,Male,Merchant,Ul'dah,Ul'dah,6-4
Ethelinda,Ethelinda,exact,ethelinda,1,1001352,10,Hyur,Midlanders,Female,Wood Wailer,Gridania,South Shroud,44-47
Eugenaire,Eugenaire,exact,eugenaire,1,1001190,10,Elezen,Duskwight Elezen,Male,,Gridania,Gridania,5-5
Eugennoix,Eugennoix (1.x),exact,eugennoix,1,1000350,10,Elezen,Wildwood Elezen,Male,,Limsa Lominsa,Limsa Lominsa,8-6
Eustace,Eustace,exact,eustace,1,1001372,10,Hyur,Midlander,Male,Local Guildleve Master,Ul'dah,Ul'dah,6-4
Evrardoux,Evrardoux,exact,evrardoux,1,1001350,10,Elezen,Wildwood Elezen,Male,,Gridania,South Shroud,45-46
Eyriguht,Eyriguht,exact,eyriguht,1,1500012,15,Roegadyn,Hellsguard,Male,,,Eastern La Noscea,31-18
F'abodji,F'abodji,exact,f'abodji,1,1000045,10,Miqo'te,Seekers of the Sun,Female,,Limsa Lominsa,Limsa Lominsa,6-7
F'hobhas,F'hobhas,exact,f'hobhas,1,1001730,10,Miqo'te,Seekers of the Sun,Female,Cauldron Carrier,,Central Thanalan,29-20
F'lhaminn,F'lhaminn,exact,f'lhaminn,3,1000038 1000842 1001514,10,Miqo'te,Seekers of the Sun,Female,Songstress of Ul'dah,Ul'dah,,
F'ongho,F'ongho,exact,f'ongho,1,1000367,10,Miqo'te,Seekers of the Sun,Female,,Limsa Lominsa,Lower La Noscea,28-33
F'zhumii,F'zhumii,exact,f'zhumii,1,1000226,10,Miqo'te,Seekers of the Sun,Female,,Limsa Lominsa,Limsa Lominsa,7-4
Fabrellet,Fabrellet,exact,fabrellet,1,1600054,16,Elezen,Duskwight Elezen,Male,Merchant,Ul'dah,Ul'dah,6-4
Faezbroes,Faezbroes,exact,faezbroes,1,1500003,15,Roegadyn,,Male,Highwind Skyways Representative,Limsa Lominsa,Limsa Lominsa,1-1
Faezghim,Faezghim,exact,faezghim,1,1500160,15,Roegadyn,Sea Wolves,Male,Merchant,Limsa Lominsa,Armorfitters Ward,1-1
Fafana,Fafana,exact,fafana,1,1500124,15,Lalafell,,Female,,,Mor Dhona,6-10
Faine,Faine,exact,faine,1,1001608,10,Elezen,Wildwood Elezen,Female,Botanist,,Western La Noscea,7-20
Familiar-looking Child,Familiar-looking Child,exact,familiar-looking child,2,1000602 1001227,10,Lalafell,,Male,,Ala Mhigo,Western Thanalan,13-35
Famushi Dumushi,Famushi Dumushi,exact,famushi dumushi,1,1001343,10,Lalafell,Plainsfolk,Male,,Gridania,North Shroud,24-13
Faucullien,Faucullien,spelling-folded,faucillien,1,1000164,10,Elezen,Wildwood Elezen,Male,Guild Merchant,Limsa Lominsa,Limsa Lominsa,6-6
Fawkes,Fawkes,exact,fawkes,1,1600097,16,,,,Merchant,,Coerthas Eastern Highlands,48-9
Fenana,Fenana,exact,fenana,1,1001376,10,Lalafell,,Male,,,Ul'dah,4-4
Ferdillaix,Ferdillaix (1.0),exact,ferdillaix,1,1000344,10,Elezen,,Male,,Limsa Lominsa,Limsa Lominsa,7-6
Ferry Steersman,Ferry Steersman,exact,ferry steersman,4,1000058 1001291 1001292 1001293,10,Hyur,Midlander,Male,Ferryman,,Ferry,1--1
Fhlae,Fhlae,exact,fhlae,1,1001593,10,Hyur,Midlander,Female,Event NPC,Limsa Lominsa,Limsa Lominsa,7-6
Fiachre,Fiachre,exact,fiachre,1,1001446,10,Hyur,Midlander,Female,,,Western Thanalan,5-26
Fickle Beggar,Fickle Beggar,exact,fickle beggar,1,1000256,10,Hyur,Midlander,Male,,Limsa Lominsa,Limsa Lominsa,6-3
Fierce-looking Warrior,Fierce-looking Warrior,exact,fierce-looking warrior,1,1001225,10,Hyur,Highlander,Male,,Ala Mhigo,Western Thanalan,13-35
Fifilo,Fifilo,exact,fifilo,1,1001168,10,Lalafell,,Female,Miner,Ul'dah,Ul'dah,6-6
Figgy,Figgy,exact,figgy,1,1001586,10,,,,Event NPC,,Ul'dah,5-3
Fineco Romanecco,Fineco Romanecco,exact,fineco romanecco,1,1000966,10,Lalafell,,Male,,Ul'dah,Ul'dah,5-5
Firmien,Firmien (1.x),exact,firmien,1,1500081,15,Elezen,,Male,,,Coerthas Central Lowlands,33-35
Flame Captain,Flame Captain (NPC),exact,flame captain,1,1001931,10,Hyur,Highlander,Male,Flame Captain,Ul'dah,Ul'dah,1-1
Ashdale,Flame Commander Ashdale,exact,flame commander ashdale,1,1001834,10,Hyur,Midlander,Male,Flame Commander,Ul'dah,Eastern Thanalan,40-32
Flame Commander Bomptond,Flame Commander Bomptond,exact,flame commander bomptond,1,1500212,15,Elezen,Wildwood Elezen,Male,Flame Commander,Ul'dah,Ul'dah,1-1
Flame Commander Ryder,Flame Commander Ryder,exact,flame commander ryder,1,1001815,10,Hyur,Midlander,Male,Flame Commander,Ul'dah,Mor Dhona,9-13
Flame Lieutenant Aubrey,Flame Lieutenant Aubrey,exact,flame lieutenant aubrey,1,1500198,15,Hyur,Highlander,Male,Company Officer,Ul'dah,Ul'dah,1-1
Flame Lieutenant Lannis,Flame Lieutenant Lannis,exact,flame lieutenant lannis,1,1001739,10,Hyur,Midlander,Male,Flame Lieutenant,Ul'dah,Ul'dah,1-1
Flame Private Allen,Flame Private Allen,exact,flame private allen,1,1500328,15,Hyur,Midlander,Male,Flame Private,Ul'dah,Ul'dah,5-5
Flame Private Covey,Flame Private Covey,exact,flame private covey,1,1500336,15,Hyur,Midlander,Female,Flame Private,Ul'dah,Ul'dah,6-6
Flame Private Dhavha,Flame Private Dhavha,exact,flame private dhavha,1,1001817,10,Miqo'te,Keepers of the Moon,Female,Flame Private,Ul'dah,Mor Dhona,9-13
Flame Private Greave,Flame Private Greave,exact,flame private greave,1,1001894,10,Hyur,Midlander,Male,Flame Private,Ul'dah,Northern Thanalan,27-14
Flame Private Hanskalsyn,Flame Private Hanskalsyn,exact,flame private hanskalsyn,1,1001925,10,Roegadyn,Sea Wolves,Male,Flame Private,Ul'dah,Northern Thanalan,27-14
Flame Private Morning,Flame Private Morning,exact,flame private morning,1,1500329,15,Hyur,,Male,Flame Private,Ul'dah,Ul'dah,5-5
Flame Private Newton,Flame Private Newton,exact,flame private newton,1,1500327,15,Hyur,Midlander,Male,Flame Private,Ul'dah,Ul'dah,5-3
Flame Private Nonoku Noku,Flame Private Nonoku Noku,exact,flame private nonoku noku,1,1500282,15,Lalafell,,Female,Flame Private,Ul'dah,Ul'dah,1-1
Flame Private Pakipo Tabkipo,Flame Private Pakipo Tabkipo,exact,flame private pakipo tabkipo,1,1500390,15,Lalafell,,Male,Flame Private,Ul'dah,Ul'dah,1-1
Flame Private Sompt,Flame Private Sompt,exact,flame private sompt,1,1001816,10,Elezen,Wildwood Elezen,Male,Flame Private,Ul'dah,Mor Dhona,9-13
Flame Private Stark,Flame Private Stark,exact,flame private stark,1,1001956,10,Hyur,Midlander,Female,Flame Private,Ul'dah,Northern Thanalan,27-14
Flame Private Tanner,Flame Private Tanner,exact,flame private tanner,1,1500337,15,Hyur,Midlander,Female,Flame Private,Ul'dah,Ul'dah,6-3
Flame Private Yar,Flame Private Yar,exact,flame private yar,1,1500338,15,Hyur,,Female,Flame Private,Ul'dah,Ul'dah,4-5
Flame Sergeant Byrne,Flame Sergeant Byrne,exact,flame sergeant byrne,1,1500226,15,Hyur,Highlander,Male,Flame Sergeant,Ul'dah,Nanawa Mines,6-6
Flame Sergeant Cotter,Flame Sergeant Cotter,exact,flame sergeant cotter,1,1001685,10,Hyur,Highlander,Male,Flame Sergeant,Ul'dah,Ul'dah,7-4
Flame Sergeant Dalvag,Flame Sergeant Dalvag (1.X),exact,flame sergeant dalvag,1,1500227,15,Hyur,Highlander,Male,Flame Sergeant,Ul'dah,Eastern Thanalan,42-38
Flame Sergeant Fouillel,Flame Sergeant Fouillel,exact,flame sergeant fouillel,1,1001699,10,Elezen,Wildwood Elezen,Male,Flame Sergeant,Ul'dah,Southern Thanalan,43-40
Flame Sergeant Rahz,Flame Sergeant Rahz,exact,flame sergeant rahz,1,1500201,15,Miqo'te,Keepers of the Moon,Female,Flame Sergeant,Ul'dah,Ul'dah,1-1
Flavielle,Flavielle,exact,flavielle,1,1001459,10,Elezen,Wildwood Elezen,Female,,Gridania,Gridania,6-6
Flaxio,Flaxio,exact,flaxio,1,1001237,10,Sylphs,,,,,East Shroud,
Fluffy Moogle,Fluffy Moogle,exact,fluffy moogle,1,1000327,10,Moogle,,,,,,
Foforyo,Foforyo,exact,foforyo,1,1001072,10,Lalafell,,Male,,Gridania,Gridania,2-1
Foinine,Foinine,exact,foinine,1,1600024,16,Elezen,Wildwood Elezen,Female,Merchant,Gridania,Gridania,7-4
Folcard,Folcard,exact,folcard,1,1600130,16,,,,Merchant,,Coerthas Eastern Lowlands,29-52
Forchetaix,Forchetaix,exact,forchetaix,1,1001766,10,Elezen,Wildwood Elezen,Male,,Limsa Lominsa,Lower La Noscea,28-33
Fousquenet,Fousquenet (1.0),exact,fousquenet,1,1600010,16,Elezen,,Male,Merchant,Limsa Lominsa,Limsa Lominsa,5-5
Foxe,Foxe,exact,foxe,1,1001839,10,,,,,Ishgard,Coerthas Eastern Lowlands,63-34
{{PAGENAME}},Frageorloix,exact,frageorloix,1,1500145,15,Elezen,Duskwight Elezen,Male,Merchant,Ul'dah,Lower Tailors Row,1-1
Frailoise,Frailoise,exact,frailoise,2,1000065 1700035,10 17,Hyur,Midlanders,Male,,Limsa Lominsa,Limsa Lominsa,7-3
Frances,Frances,exact,frances,1,1000466,10,Hyur,Midlander,Female,Guild Merchant,,Gridania,6-5
Francis,Francis,exact,francis,2,1000566 1000731,10,Hyur,Midlander,Male,,Gridania,Gridania,8-2
Frediswitha,Frediswitha,exact,frediswitha,1,1500100,15,Hyur,Midlander,Female,Quartermaster,Ul'dah,Eastern Thanalan,39-25
Fretful Farmhand,Fretful Farmhand,exact,fretful farmhand,1,1001491,10,Hyur,Midlander,Male,,Ul'dah,Ul'dah Opening,4-7
Fretful Moogle,Fretful Moogle,exact,fretful moogle,2,1001838 1200287,10 12,Moogle,,,,,West Shroud,41-18
Frightened Moogle,Frightened Moogle,exact,frightened moogle,1,1001837,10,Moogle,,,,,West Shroud,41-18
Frilaix,Frilaix,other-locale,serpent sergeant frilaix,2,1001621 1002107,10,Elezen,Duskwight Elezen,Female,Event NPC,Gridania,Gridania,6-5
Friont,Friont,other-locale,storm sergeant friont,1,1500213,15,Elezen,Duskwight,Female,,Limsa Lominsa,Eastern La Noscea,36-20
Frithuric,Frithuric,exact,frithuric,1,1000280,10,Hyur,Highlanders,Male,,Limsa Lominsa,Limsa Lominsa,5-7
Fromelaut,Fromelaut,exact,fromelaut,1,1001314,10,Elezen,Wildwood Elezen,Male,,Ul'dah,Eastern Thanalan,19-37
Fruhdehm,Fruhdhem,exact,fruhdhem,1,1500061,15,Roegadyn,,Male,Chocobo Renter,Gridania,Gridania,6-5
Fruhybolg,Fruhybolg,exact,fruhybolg,1,1000964,10,Roegadyn,,Male,,Ul'dah,Ul'dah,5-5
Fryswyde,Fryswyde,exact,fryswyde,1,1001709,10,Hyur,Midlander,Female,,Gridania,Gridania,6-6
Fufucha,Fufucha,exact,fufucha,1,1000237,10,Lalafell,Dunesfolk,Female,,,Gridania,3-4
Fufuna,Fufuna,exact,fufuna,1,1000345,10,Lalafell,Plainsfolk,Female,,Limsa Lominsa,Limsa Lominsa,7-6
Fupepe,Fupepe,exact,fupepe,1,1001301,10,Lalafell,Plainsfolk,Female,,Limsa Lominsa,Western La Noscea,11-24
Fuzak Anzak,Fuzak Anzak,exact,fuzak anzak,1,1000470,10,Lalafell,,Male,,Limsa Lominsa,Limsa Lominsa,5-2
Fyrilsunn,Fyrilsunn (1.0),exact,fyrilsunn,1,1001144,10,Roegadyn,,Male,,Ul'dah,Ul'dah,5-4
Fyrloug,Fyrloug,exact,fyrloug,1,1001357,10,Roegadyn,Hellsguard,Male,,,Coerthas Eastern Lowlands,62-34
G'datnan,G'datnan,exact,g'datnan,1,1001425,10,Miqo'te,Seekers of the Sun,Female,,Ul'dah,Ul'dah,6-3
G'nanghal,G'nanghal,exact,g'nanghal,1,1000476,10,Miqo'te,Seekers of the Sun,Female,,Limsa Lominsa,Limsa Lominsa,4-7
G'nibnpha,G'nibnpha,exact,g'nibnpha,1,1000339,10,Miqo'te,Seekers of the Sun,Female,,Limsa Lominsa,Limsa Lominsa,7-4
G'sumbla,G'sumbla,exact,g'sumbla,1,1500161,15,Miqo'te,Seekers of the Sun,Female,Merchant,Limsa Lominsa,Lower Tailors Ward,1-1
G'wahaii,G'wahaii,exact,g'wahaii,1,1600077,16,Miqo'te,Seekers of the Sun,Female,Merchant,Ul'dah,Ul'dah,5-4
G'zentsa,G'zentsa,exact,g'zentsa,1,1001702,10,Miqo'te,Seekers of the Sun,Female,,Limsa Lominsa,Limsa Lominsa,1-1
Gadfrid,Gadfrid,exact,gadfrid,1,1500259,15,Hyur,Highlander,Male,Repair Merchant,Ishgard,Mor Dhona,17-20
Gaelle,Gaelle,exact,gaelle,1,1500404,15,Elezen,Wildwood Elezen,Female,Repair Merchant,Gridania,Gridanian Mercantile House,1-1
Gaetelle,Gaetelle,exact,gaetelle,1,1001366,10,Elezen,,Female,,,,
Gagaleo Pupuleo,Gagaleo Pupuleo,other-locale,flame sergeant gagaleo pupuleo,2,1001627 1002113,10,Lalafell,Plainsfolk,Male,Event NPC,Ul'dah,Ul'dah,5-3
Gaganji,Gaganji,exact,gaganji,1,1500065,15,Lalafell,,Male,,Ul'dah,Western Thanalan,35-12
Gagaroon,Gagaroon,exact,gagaroon,1,1500294,15,Qiqirn,,,Black Market Vendor,Gridania,Gridania,8-4
Gagaruna,Gagaruna,exact,gagaruna,1,1000862,10,Lalafell,Dunesfolk,Male,,Ul'dah,Ul'dah,5-4
Gagaulu,Gagaulu,exact,gagaulu,1,1600022,16,Lalafell,Dunesfolk,Male,Merchant,Gridania,Gridania,8-4
Gairbert,Gairbert,exact,gairbert,1,1000658,10,Hyur,Highlander,Male,,Ul'dah,Ul'dah,7-5
Gaius van Baelsar,Gaius van Baelsar,exact,gaius van baelsar,1,1000552,10,,,,,Garlemald,,
Galeren,Galeren,exact,galeren,1,1000963,10,Hyur,Highlander,Male,,Ul'dah,Ul'dah,5-5
Gallia,Gallia,exact,gallia,1,1000459,10,Hyur,Midlander,Female,Guild Merchant,Gridania,Gridania,7-3
Ganelon,Ganelon (1.x),exact,ganelon,1,1600129,16,Hyur,Midlander,Male,Merchant,Ul'dah,Ul'dah,6-4
Gautzelin,Gautzelin,exact,gautzelin,1,1000365,10,Hyur,Highlanders,male,,Limsa Lominsa,Limsa Lominsa,7-7
Gauwyn the Gannet,Gauwyn the Gannet,exact,gauwyn the gannet,1,1002065,10,Hyur,Midlander,Male,,,"Ul'dah, Gridania","5-5, 5-5"
Gegeissa,Gegeissa,exact,gegeissa,1,1001424,10,Lalafell,,Female,,Ul'dah,Ul'dah,6-3
Gembert,Gembert,exact,gembert,2,1001149 1600128,10 16,Hyur,,Male,,Ul'dah,Southern Thanalan,43-46
Genna,Genna,exact,genna,1,1001431,10,Hyur,Midlander,Female,,Gridania,Gridania,5-2
Georjeaux,Georjeaux,exact,georjeaux,1,1000830,10,Elezen,Wildwood Elezen,Male,,Gridania,Gridania,8-5
Gerlac,Gerlac,exact,gerlac,1,1500102,15,Hyur,Highlander,Male,Quartermaster,Ul'dah,Northern Thanalan,13-25
Gerland,Gerland,exact,gerland,1,1001503,10,Hyur,Midlander,Male,,,Western Thanalan,5-26
Gerolt,Gerolt,exact,gerolt,1,1060043,10,,,,,Gridania,East Shroud,50-32
Gerraldieux,Gerraldieux,exact,gerraldieux,1,1600061,16,Elezen,,Male,Merchant,Gridania,Central Shroud,32-33
Gert,Gert,exact,gert,1,1500004,15,Hyur,Midlander,Female,,Limsa Lominsa,Limsa Lominsa,4-5
Gerulf,Gerulf,exact,gerulf,1,1000063,10,Hyur,Midlanders,Male,,Limsa Lominsa,Limsa Lominsa,7-3
Gigirya,Gigirya,exact,gigirya,1,1000270,10,Lalafell,Plainsfolk,Male,,Limsa Lominsa,Limsa Lominsa,7-5
Gil-digging Mistress,Gil-digging Mistress,exact,gil-digging mistress,1,1001495,10,Elezen,,Female,,Ul'dah,Ul'dah Opening,4-7
Ginnade,Ginnade,exact,ginnade,1,1000132,10,Hyur,Midlanders,Female,,Limsa Lominsa,Limsa Lominsa,5-2
