ge_page_title,ge_revision_id,ge_revision_timestamp,removed_before_arr,item_name,item_category,patch_introduced,required_level,optimal_level,required_rank,suits_classes,fits_races,favors_classes,requires_classes,gender_restriction,wear_durability_points,base_material,base_item,dye_colors,defense,magic_defense,damage,delay_seconds,number_of_attacks,recast_seconds,duration_seconds,blunt_attack_pct,piercing_attack_pct,slashing_attack_pct,projectile_attack_pct,evasion_bonus,magic_evasion_bonus,accuracy_bonus,magic_accuracy_bonus,attack_magic_potency_bonus,healing_magic_potency_bonus,enhancement_magic_potency_bonus,enfeebling_magic_potency_bonus,strength_bonus,vitality_bonus,dexterity_bonus,intelligence_bonus,mind_bonus,piety_bonus,hp_bonus,mp_bonus,craftsmanship_bonus,magic_craftsmanship_bonus,gathering_bonus,perception_bonus,output_bonus,has_attributes,materia_effect,meld_slots,meldable,convertible,materia_catalyst,recipe_templates_raw,stack_max,unique,untradeable,resale_price_gil,repair_class,repair_level,hq_effect,hq_bonus_attribute,description,source
Cotton Shirt Front (Red),405323,2011-10-07T02:45:32Z,1,Cotton Shirt Front (Red),Front Cloth,,,,,,,,,,,Mesa-red Cotton Cloth,Cotton Shirt Front,"Blue,Green,Red,Yellow,Undyed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe | Name = Cotton Shirt Front (Red) | Primary Skill = Weaving | Primary Skill Level = 21 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Earth Shard |Crystal 1 Amount = 5 |Crystal 2 = Wind Shard |Crystal 2 Amount = 3 |Ingredients = Mesa-red Cotton Cloth, Mesa-red Cotton Cloth, Cotton Yarn |Main Hand NQ = Cotton Shirt Front (Red) |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",99,,,,,,,,The front half of a shirt made from mesa-red cotton cloth.,ge-item-pages
Cotton Shirt Front (Yellow),405346,2011-10-07T02:45:34Z,1,Cotton Shirt Front (Yellow),Front Cloth,,,,,,,,,,,Maize-yellow Cotton Cloth,Cotton Shirt Front,"Blue,Green,Red,Yellow,Undyed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe | Name = Cotton Shirt Front (Yellow) | Primary Skill = Weaving | Primary Skill Level = 21 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Earth Shard |Crystal 1 Amount = 5 |Crystal 2 = Wind Shard |Crystal 2 Amount = 3 |Ingredients = Maize-yellow Cotton Cloth, Maize-yellow Cotton Cloth, Cotton Yarn |Main Hand NQ = Cotton Shirt Front (Yellow) |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",99,,,,,,,,The front half of a shirt made from maize-yellow cotton cloth.,ge-item-pages
Cotton Shorts,98938,2012-05-11T01:28:59Z,0,Cotton Shorts,Undergarment,,,21,,,Lalafell,,,Male,,,,"Blue, Brown, Green, Yellow",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,"{{Recipe |Name = Cotton Shorts |Primary Skill = Weaving |Primary Skill Level = 23 |Secondary Skill = |Secondary Skill Level = |Secondary Skill 2 = |Secondary Skill 2 Level = |Training 1 = |Training 2 = |Simple Facilities = |Guild Facilities = |Crystal 1 = Lightning Shard |Crystal 1 Amount = 4 |Crystal 2 = Wind Shard |Crystal 2 Amount = 3 |Ingredients = Undyed Cotton Cloth, Cotton Yarn, Sheep Leather |Main Hand NQ = Cotton Shorts |Main Hand HQ+1 = Cotton Shorts +1 |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Cotton Shorts |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",,,,396,,,,,,ge-item-pages
Cotton Shoulder Guards,372899,2011-02-03T17:38:04Z,0,Cotton Shoulder Guards,Shield Part,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,Pieces of mesa-red cotton padding used on body armor to provide extra protection to the shoulders.,ge-item-pages
Cotton Shoulder Guards (Red),123281,2011-10-07T02:47:46Z,1,Cotton Shoulder Guards (Red),Shield Part,,,,,,,,,,,,,"Red,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe | Name = Cotton Shoulder Guards (Red) | Primary Skill = Weaving | Primary Skill Level = 11 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Earth Shard |Crystal 1 Amount = 5 |Crystal 2 = Wind Shard |Crystal 2 Amount = 3 |Ingredients = Mesa-red Cotton Cloth, Cotton Yarn |Main Hand NQ = Cotton Shoulder Guards (Red) |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",99,,,,,,,,Pieces of mesa-red cotton padding used on body armor to provide extra protection to the shoulders.,ge-item-pages
Cotton Singlet,99266,2012-05-18T23:37:28Z,0,Cotton Singlet,Undershirt,,,21,,,Roegadyn,,,Male,,,,"Blue, Brown, Green, Yellow",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,"{{Recipe |Name = Cotton Singlet |Primary Skill = Leathercraft |Primary Skill Level = 23 |Secondary Skill = |Secondary Skill Level = |Secondary Skill 2 = |Secondary Skill 2 Level = |Training 1 = |Training 2 = |Simple Facilities = |Guild Facilities = |Crystal 1 = Earth Shard |Crystal 1 Amount = 4 |Crystal 2 = Wind Shard |Crystal 2 Amount = 3 |Ingredients = Undyed Cotton Cloth, Sheep Leather, Antelope Sinew |Main Hand NQ = Cotton Singlet |Main Hand HQ+1 = Cotton Singlet +1 |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Cotton Singlet |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",,,,1320,,,,,,ge-item-pages
Cotton Sleeves,452082,2011-10-07T02:46:50Z,1,Cotton Sleeves,Cloth Sleeve,,,,,,,,,,,,Cotton Sleeves,"Blue,Green,Red,Yellow,Undyed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe | Name = Cotton Sleeves | Primary Skill = Weaving | Primary Skill Level = 12 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Earth Shard |Crystal 1 Amount = 6 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Undyed Cotton Cloth, Undyed Cotton Cloth, Cotton Yarn |Main Hand NQ = Cotton Sleeves |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",99,,,201,,,,,A pair of uncolored cotton sleeves used in making various types of cloth armor.,ge-item-pages
Cotton Sleeves (Blue),389749,2011-10-07T02:47:03Z,1,Cotton Sleeves (Blue),Cloth Sleeve,,,,,,,,,,,,Cotton Sleeves,"Blue,Green,Red,Yellow,Undyed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe | Name = Cotton Sleeves (Blue) | Primary Skill = Weaving | Primary Skill Level = 12 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Earth Shard |Crystal 1 Amount = 8 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Celeste-blue Cotton Cloth, Celeste-blue Cotton Cloth, Cotton Yarn |Main Hand NQ = Cotton Sleeves (Blue) |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",99,,,,,,,,A pair of celeste-blue cotton sleeves used in making various types of cloth armor.,ge-item-pages
Cotton Sleeves (Green),363932,2011-10-07T02:46:56Z,1,Cotton Sleeves (Green),Cloth Sleeve,,,,,,,,,,,,Cotton Sleeves,"Blue,Green,Red,Yellow,Undyed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe | Name = Cotton Sleeves (Green) | Primary Skill = Weaving | Primary Skill Level = 12 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Earth Shard |Crystal 1 Amount = 6 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Olive-green Cotton Cloth, Olive-green Cotton Cloth, Cotton Yarn |Main Hand NQ = Cotton Sleeves (Green) |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",99,,,,,,,,A pair of olive-green cotton sleeves used in making various types of cloth armor.,ge-item-pages
Cotton Sleeves (Red),389806,2011-10-07T02:51:13Z,1,Cotton Sleeves (Red),Cloth Sleeve,,,,,,,,,,,,Cotton Sleeves,"Blue,Green,Red,Yellow,Undyed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe | Name = Cotton Sleeves (Red) | Primary Skill = Weaving | Primary Skill Level = 12 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Earth Shard |Crystal 1 Amount = 6 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Mesa-red Cotton Cloth, Mesa-red Cotton Cloth, Cotton Yarn |Main Hand NQ = Cotton Sleeves (Red) |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",99,,,,,,,,A pair of mesa-red cotton sleeves used in making various types of cloth armor.,ge-item-pages
Cotton Sleeves (Yellow),389862,2011-10-07T02:46:53Z,1,Cotton Sleeves (Yellow),Cloth Sleeve,,,,,,,,,,,,Cotton Sleeves,"Blue,Green,Red,Yellow,Undyed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe | Name = Cotton Sleeves (Yellow) | Primary Skill = Weaving | Primary Skill Level = 13 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Earth Shard |Crystal 1 Amount = 6 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Maize-yellow Cotton Cloth, Maize-yellow Cotton Cloth, Cotton Yarn |Main Hand NQ = Cotton Sleeves (Yellow) |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",99,,,,,,,,A pair of maize-yellow cotton sleeves used in making various types of cloth armor.,ge-item-pages
Cotton Socks,418953,2011-10-07T02:46:19Z,1,Cotton Socks,Footwear Part,,,,,,,,,,,,Cotton Socks,"Blue,Green,Red,Yellow,Undyed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe | Name = Cotton Socks | Primary Skill = Weaving | Primary Skill Level = 13 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Earth Shard |Crystal 1 Amount = 8 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Undyed Cotton Cloth, Cotton Yarn |Main Hand NQ = Cotton Socks |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",99,,,249,,,,,"A pair of simple, undyed cotton socks sewn to the inner lining of footwear to prevent chafing.",ge-item-pages
Cotton Socks (Blue),406696,2011-10-07T02:46:33Z,1,Cotton Socks (Blue),Footwear Part,,,,,,,,,,,,Cotton Socks,"Blue,Green,Red,Yellow,Undyed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe | Name = Cotton Socks (Blue) | Primary Skill = Weaving | Primary Skill Level = 13 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Earth Shard |Crystal 1 Amount = 6 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Celeste-blue Cotton Cloth, Cotton Yarn |Main Hand NQ = Cotton Socks (Blue) |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",99,,,,,,,,"A pair of simple, celeste-blue cotton socks sewn to the inner lining of footwear to prevent chafing.",ge-item-pages
Cotton Socks (Green),363456,2011-10-07T02:46:31Z,1,Cotton Socks (Green),Footwear Part,,,,,,,,,,,,Cotton Socks,"Blue,Green,Red,Yellow,Undyed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe | Name = Cotton Socks (Green) | Primary Skill = Weaving | Primary Skill Level = 13 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Earth Shard |Crystal 1 Amount = 8 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Olive-green Cotton Cloth, Cotton Yarn |Main Hand NQ = Cotton Socks (Green) |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",99,,,,,,,,"A pair of simple, olive-green cotton socks sewn to the inner lining of footwear to prevent chafing.",ge-item-pages
Cotton Socks (Red),363372,2011-10-07T02:46:29Z,1,Cotton Socks (Red),Footwear Part,,,,,,,,,,,,Cotton Socks,"Blue,Green,Red,Yellow,Undyed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe | Name = Cotton Socks (Red) | Primary Skill = Weaving | Primary Skill Level = 13 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Earth Shard |Crystal 1 Amount = 8 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Mesa-red Cotton Cloth, Cotton Yarn |Main Hand NQ = Cotton Socks (Red) |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",99,,,,,,,,"A pair of simple, mesa-red cotton socks sewn to the inner lining of footwear to prevent chafing.",ge-item-pages
Cotton Socks (Yellow),406752,2011-10-07T02:46:26Z,1,Cotton Socks (Yellow),Footwear Part,,,,,,,,,,,,Cotton Socks,"Blue,Green,Red,Yellow,Undyed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe | Name = Cotton Socks (Yellow) | Primary Skill = Weaving | Primary Skill Level = 13 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Earth Shard |Crystal 1 Amount = 8 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Maize-yellow Cotton Cloth, Cotton Yarn |Main Hand NQ = Cotton Socks (Yellow) |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",99,,,,,,,,"A pair of simple, maize-yellow cotton socks sewn to the inner lining of footwear to prevent chafing.",ge-item-pages
Cotton Stockings,99552,2012-05-11T01:30:26Z,0,Cotton Stockings,Undergarment,,,21,,,Elezen,,,Female,,,,"Blue, Brown, Green, Yellow",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,"{{Recipe |Name = Cotton Stockings |Primary Skill = Weaving |Primary Skill Level = 23 |Secondary Skill = |Secondary Skill Level = |Secondary Skill 2 = |Secondary Skill 2 Level = |Training 1 = |Training 2 = |Simple Facilities = |Guild Facilities = |Crystal 1 = Lightning Shard |Crystal 1 Amount = 4 |Crystal 2 = Wind Shard |Crystal 2 Amount = 3 |Ingredients = Undyed Cotton Cloth, Undyed Cotton Cloth, Cotton Yarn, Cotton Yarn |Main Hand NQ = Cotton Stockings |Main Hand HQ+1 = Cotton Stockings +1 |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Cotton Stockings |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",,,,396,,,,,,ge-item-pages
Cotton Stuffing,445149,2011-10-10T16:07:57Z,1,Cotton Stuffing,Fiber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe | Name = Cotton Stuffing | Primary Skill = Weaving | Primary Skill Level = 10 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = Spinning Training | Training 2 = | Guild Facilities = |Crystal 1 = Earth Shard |Crystal 1 Amount = 12 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Cotton Boll, Cotton Boll, Cotton Boll |Main Hand NQ = Cotton Stuffing x12 |Main Hand HQ+1 = Cotton Stuffing +1 x12 |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Cotton Stuffing x12 |Off Hand HQ+1 = Cotton Stuffing x16 |Off Hand HQ+2 = |Off Hand HQ+3 = }}",99,,,134,,,,,Processed cotton fiber commonly used in padding.,ge-item-pages
Cotton Sugarloaf Hat,153480,2012-05-11T01:44:02Z,0,Cotton Sugarloaf Hat,Hat,,,22,,All Classes,,,,,12510,,,"Brown, Blue, Green",15,,,,,,,,,,,,,,,,,,,,,,,,2,,18,,,,,,,,,Yes,Yes,,"{{Recipe | Name = Cotton Sugarloaf Hat | Primary Skill = Weaving | Primary Skill Level = 24 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Lightning Shard |Crystal 1 Amount = 4 |Crystal 2 = Wind Shard |Crystal 2 Amount = 3 |Ingredients = Undyed Hempen Cloth, Undyed Cotton Cloth, Cotton Yarn, Iron Ingot |Main Hand NQ = Cotton Sugarloaf Hat |Main Hand HQ+1 = Cotton Sugarloaf Hat +1 |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Cotton Sugarloaf Hat |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",,,,2833,Weaver,12,,Piety,,ge-item-pages
Cotton Sugarloaf Hat of Intelligence,410715,2012-05-11T01:43:37Z,0,Cotton Sugarloaf Hat of Intelligence,Hat,,22,,,,,,Discipline of Magic,,12510,,,"Brown, Blue, Green",15,,,,,,,,,,,,,,,,,,,,,,1,,2,,18,,,,,,,,,Yes,Yes,,"{{Recipe | Name = Cotton Sugarloaf Hat of Intelligence | Primary Skill = Weaving | Primary Skill Level = 24 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Ice Shard |Crystal 1 Amount = 7 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Cotton Sugarloaf Hat, Undyed Cotton Cloth |Main Hand NQ = Cotton Sugarloaf Hat of Intelligence |Main Hand HQ+1 = Cotton Sugarloaf Hat of Intelligence +1 |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Cotton Sugarloaf Hat of Intelligence |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",,,,2833,Weaver,12,,Intelligence,,ge-item-pages
Cotton Sugarloaf Hat of the Mind,410733,2012-05-11T01:43:24Z,0,Cotton Sugarloaf Hat of the Mind,Hat,,22,,,,,,Discipline of Magic,,12510,,,"Brown, Blue, Green",15,,,,,,,,,,,,,,,,,,,,,,,1,2,,18,,,,,,,,,Yes,Yes,,"{{Recipe | Name = Cotton Sugarloaf Hat of the Mind | Primary Skill = Weaving | Primary Skill Level = 24 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Water Shard |Crystal 1 Amount = 7 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Cotton Sugarloaf Hat, Undyed Cotton Cloth |Main Hand NQ = Cotton Sugarloaf Hat of the Mind |Main Hand HQ+1 = Cotton Sugarloaf Hat of the Mind +1 |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Cotton Sugarloaf Hat of the Mind |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",,,,2833,Weaver,12,,Mind,,ge-item-pages
Cotton Tabard,186772,2012-05-11T00:08:56Z,0,Cotton Tabard,War Garb,,,16,,,,All Classes,,,25020,,,Green,27,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,y,y,,"{{Recipe |Name = Cotton Tabard |Primary Skill = Weaving |Primary Skill Level = 17 |Secondary Skill = |Secondary Skill Level = |Secondary Skill 2 = |Secondary Skill 2 Level = |Training 1 = |Training 2 = |Simple Facilities = |Guild Facilities = |Crystal 1 = Lightning Shard |Crystal 1 Amount = 4 |Crystal 2 = Wind Shard |Crystal 2 Amount = 1 |Ingredients = Undyed Cotton Cloth, Cotton Yarn, Dodo Leather, Undyed Cotton Cloth |Main Hand NQ = Cotton Tabard |Main Hand HQ+1 = Cotton Tabard +1 |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Cotton Tabard |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",,,,2720,Weaver,,,Attack Power,,ge-item-pages
Cotton Tabard Back,452199,2011-10-07T02:38:47Z,1,Cotton Tabard Back,Back Cloth,,,,20,All Classes,,,,,,Undyed Cotton Cloth,Cotton Tabard Back,"Blue,Green,Red,Yellow,Undyed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe | Name = Cotton Tabard Back | Primary Skill = Weaving | Primary Skill Level = 15 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Earth Shard |Crystal 1 Amount = 4 |Crystal 2 = Wind Shard |Crystal 2 Amount = 3 |Ingredients = Undyed Cotton Cloth, Undyed Cotton Cloth, Cotton Yarn |Main Hand NQ = Cotton Tabard Back |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",99,,,,,,,,The back half of a tabard made from undyed cotton cloth.,ge-item-pages
Cotton Tabard Back (Blue),353518,2011-10-07T02:39:01Z,1,Cotton Tabard Back (Blue),Back Cloth,,,,20,All Classes,,,,,,Celeste-blue Cotton Cloth,Cotton Tabard Back,"Blue,Green,Red,Yellow,Undyed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe | Name = Cotton Tabard Back (Blue) | Primary Skill = Weaving | Primary Skill Level = 15 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Earth Shard |Crystal 1 Amount = 4 |Crystal 2 = Wind Shard |Crystal 2 Amount = 3 |Ingredients = Celeste-blue Cotton Cloth, Celeste-blue Cotton Cloth, Cotton Yarn |Main Hand NQ = Cotton Tabard Back (Blue) |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",99,,,,,,,,The back half of a tabard made from celeste-blue cotton cloth.,ge-item-pages
Cotton Tabard Back (Green),353568,2011-10-07T02:38:59Z,1,Cotton Tabard Back (Green),Back Cloth,,,,20,All Classes,,,,,,Olive-green Cotton Cloth,Cotton Tabard Back,"Blue,Green,Red,Yellow,Undyed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe | Name = Cotton Tabard Back (Green) | Primary Skill = Weaving | Primary Skill Level = 15 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Earth Shard |Crystal 1 Amount = 4 |Crystal 2 = Wind Shard |Crystal 2 Amount = 3 |Ingredients = Olive-green Cotton Cloth, Olive-green Cotton Cloth, Cotton Yarn |Main Hand NQ = Cotton Tabard Back (Green) |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",99,,,,,,,,The back half of a tabard made from olive-green cotton cloth.,ge-item-pages
Cotton Tabard Back (Red),353611,2011-10-07T02:38:41Z,1,Cotton Tabard Back (Red),Back Cloth,,,,20,All Classes,,,,,,Mesa-red Cotton Cloth,Cotton Tabard Back,"Blue,Green,Red,Yellow,Undyed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe | Name = Cotton Tabard Back (Red) | Primary Skill = Weaving | Primary Skill Level = 15 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Earth Shard |Crystal 1 Amount = 5 |Crystal 2 = Wind Shard |Crystal 2 Amount = 3 |Ingredients = Mesa-red Cotton Cloth, Mesa-red Cotton Cloth, Cotton Yarn |Main Hand NQ = Cotton Tabard Back (Red) |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",99,,,,,,,,The back half of a tabard made from mesa-red cotton cloth.,ge-item-pages
Cotton Tabard Back (Yellow),353666,2011-10-07T02:38:53Z,1,Cotton Tabard Back (Yellow),Back Cloth,,,,20,All Classes,,,,,,Maize-yellow Cotton Cloth,Cotton Tabard Back,"Blue,Green,Red,Yellow,Undyed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe | Name = Cotton Tabard Back (Yellow) | Primary Skill = Weaving | Primary Skill Level = 15 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Earth Shard |Crystal 1 Amount = 4 |Crystal 2 = Wind Shard |Crystal 2 Amount = 3 |Ingredients = Maize-yellow Cotton Cloth, Maize-yellow Cotton Cloth, Cotton Yarn |Main Hand NQ = Cotton Tabard Back (Yellow) |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",99,,,,,,,,The back half of a tabard made from maize-yellow cotton cloth.,ge-item-pages
