ge_page_title,ge_revision_id,ge_revision_timestamp,removed_before_arr,mob_name,family,subfamily,subspecies,mob_type,job,gender,element,elemental_weakness,aggressive,behavior_flags,notorious_monster,level_low,level_high,hp_low,hp_high,mp_low,mp_high,drops_no_shards,drops_no_crystals,notes,etymology,source
Clipper,348851,2011-09-23T15:56:10Z,0,Clipper,Crab,,,,,,,,,,,70,79,4333,5173,1330,1585,,,"Rears itself up as a warning for several seconds when approached. Will only attack if someone stays near it after those several seconds. Will not attack if someone goes past it, nor will it follow them without provocation.",,ge-mob-pages
Cloud Hippocerf,252538,2012-08-07T18:52:24Z,0,Cloud Hippocerf,Hippogryph,,,,,,Wind,,Yes,,,46,49,,,,,,,,,ge-mob-pages
Cochineal Cactuar,502465,2011-09-21T00:42:12Z,0,Cochineal Cactuar,Cactuar,,,,,,Lightning,,,,,30,39,1188,1524,568,726,,,,,ge-mob-pages
Cockatrice (1.x),497579,2011-10-02T09:36:21Z,0,Cockatrice,Cockatrice,Cockatrice,,,,,Wind,,,,,45,54,2649,3162,819,975,,,,,ge-mob-pages
Coiled Adder,28237,2010-12-20T20:39:02Z,0,Coiled Adder,Enemy Humanoid,,,Quest,,,,,,,,,,,,,,,,,,ge-mob-pages
Common Cactuar,504063,2012-05-30T01:35:45Z,0,Common Cactuar,Cactuar,,,,,,Lightning,,,,,20,32,273,841,427,744,,,,,ge-mob-pages
Condor,473353,2012-05-31T21:10:20Z,0,Condor,Vulture,,,,,,Wind,,x,,,40,44,1562,1689,744,803,,,,,ge-mob-pages
Copper Coblyn,465636,2012-05-30T03:20:10Z,0,Copper Coblyn,Coblyn,,,,,,Earth,,,,,5,14,169,573,267,360,,,,,ge-mob-pages
Corroded Coblyn,465684,2012-04-29T18:03:20Z,0,Corroded Coblyn,Coblyn,,,,,,Earth,Water,,,,1,13,51,625,267,392,,,,,ge-mob-pages
Corrosive Coblyn,18082,2011-09-17T23:53:54Z,0,Corrosive Coblyn,Coblyn,,,,,,Earth,,,,,20,,682,,427,,,,,,ge-mob-pages
Crabfisher,259371,2012-05-07T02:10:17Z,0,Crabfisher,Angler,,,,,,Water,,Y,,,33,33,,,,,,,Vulnerable only to polearm and magic damage,,ge-mob-pages
Crapulous Canine,377258,2012-08-07T18:10:01Z,0,Crapulous Canine,Wolf,,,,,,Lightning,,,P,,30,42,,,,,,,,,ge-mob-pages
Creeping Ivy,504077,2011-09-21T01:47:07Z,0,Creeping Ivy,Morbol,,,,,,Ice,,x,,,75,84,6933,8277,1466,1747,,,,,ge-mob-pages
Croft Kalong,422246,2012-04-19T00:49:25Z,0,Croft Kalong,Bat,,Kalong,,,,Wind,,x,,,35,39,804,1850,657,1074,,,They use a Drain type attack which can make them very difficult to handle at lower levels.,,ge-mob-pages
Curious Galago,468060,2012-06-05T03:44:22Z,0,Curious Galago,Opo-opo,,,,,,Fire,Wind,,,,15,40,328,1290,370,744,,,Absorbs Earth Magic,"A play on Curious George, the monkey protagonist of a series of popular children's books written by Hans Augusto Rey and Margret Rey.",ge-mob-pages
Curious Gorge (Mob),329701,2012-06-06T19:38:11Z,0,Curious Gorge,Enemy Humanoid,Roegadyn,,,Warrior,Male,,,Y,,Y,55,55,,,,,,,,,ge-mob-pages
Cursed Eye,60367,2012-10-01T06:36:32Z,0,Cursed Eye,Ahriman,,Eye,,,Male,Earth,Water,x,,,35,35,,,,,,,,,ge-mob-pages
Daddy Longlegs,218788,2012-07-29T03:22:41Z,0,Daddy Longlegs,Yarzon,,,,,,Ice,,x,,x,42,,"27,489",,773,,,,Also involved in the quest A Time to Kill,,ge-mob-pages
Dapper Cadaver,2193,2012-07-03T01:21:27Z,0,Dapper Cadaver,Fomor,,,,,,,,Y,,,45,45,,,,,,,,,ge-mob-pages
Darkeye Devilet,27635,2012-09-26T03:43:24Z,0,Darkeye Devilet,Imp,,,,"Thaumaturge, Conjurer",,Ice,,x,,,40,68,721,1875,3720,6395,,,,,ge-mob-pages
Darkwing Devilet,464363,2012-06-23T05:36:40Z,0,Darkwing Devilet,Imp,,,,"Thaumaturge, Conjurer",,Ice,,x,,,35,59,1058,2268,3285,5370,,,,,ge-mob-pages
Deadeyes,18845,2012-05-29T03:20:37Z,0,Deadeyes,Wolf,,,,,,Lightning,Earth,Y,,,10,60,459,6405,322,1095,,,,,ge-mob-pages
Deathstroke Assassin,400057,2012-05-29T01:44:25Z,0,Deathstroke Assassin,Enemy Humanoid,Lalafell,,,Pugilist,Male,,,Y,,,20,52,,,,,,,,,ge-mob-pages
Deepground Puk,421267,2012-04-19T00:50:27Z,0,Deepground Puk,Puk,,,,,,Wind,,,,,35,59,741,1745,657,1074,,,,,ge-mob-pages
Deepvoid Pikeman,58741,2012-09-14T03:22:43Z,0,Deepvoid Pikeman,Fomor,,,,Lancer,,,,Y,,,60,,,,,,Y,Y,Spawned by Active Atomos,,ge-mob-pages
Deepvoid Scamp,58491,2012-09-14T03:17:42Z,0,Deepvoid Scamp,Imp,,,,,,,,Y,,,60,,,,,,Y,Y,Spawned by both Active and Passive Atomos.,,ge-mob-pages
Deepvoid Sludge,58360,2012-09-14T03:18:01Z,0,Deepvoid Sludge,Flan,,,,,,,,Y,,,60,,,,,,Y,Y,Spawned by Active Atomos. Can change elemental weakness.,,ge-mob-pages
Deepvoid Soul,59006,2012-09-14T03:27:33Z,0,Deepvoid Soul,Ghost,,,,,,,,Y,,,60,,,,,,Y,Y,Spawned by both Active and Passive Atomos.,,ge-mob-pages
Deepvoid Warrior,58658,2012-09-14T03:20:14Z,0,Deepvoid Warrior,Wight,,,,Gladiator,,,,Y,,,60,,,,,,Y,Y,Spawned by both Active and Passive Atomos,,ge-mob-pages
Deepvoid Watcher,58945,2012-09-14T03:25:50Z,0,Deepvoid Watcher,Ahriman,,,,Thaumaturge,,,,Y,,,60,,,,,,Y,Y,Spawned by Active Atomos,,ge-mob-pages
Deepvoid Wizard,58850,2012-09-14T03:23:19Z,0,Deepvoid Wizard,Fomor,,,,Thaumaturge,,,,Y,,,60,,,,,,Y,Y,Spawned by Active Atomos,,ge-mob-pages
Delta Crab,417528,2012-06-05T05:40:25Z,0,Delta Crab,Crab,,,,,,Water,,,,,30,54,549,1423,568,975,,,,,ge-mob-pages
Desert Peiste,501924,2011-10-02T05:53:27Z,0,Desert Peiste,Basilisk,,,,,,Fire,,x,,,45,54,3179,3795,819,975,,,,,ge-mob-pages
Devilet,508178,2012-09-26T01:21:38Z,0,Devilet,Imp,,,,"Thaumaturge, Conjurer",,Ice,,x,,,40,44,2402,2598,3720,4015,,,,,ge-mob-pages
Dew Hare,499842,2011-09-24T00:53:27Z,0,Dew Hare,Slug,,,,,,Water,,,,,45,49,4106,4443,819,885,,,,,ge-mob-pages
Diamond-tooth Hedgemole,323260,2012-08-08T19:36:15Z,0,Diamond-tooth Hedgemole,Mole,Hedgemole,,,,,Earth,,Y,"A, H",,52,52,,,,,,,,,ge-mob-pages
Dire Dormouse,417260,2012-09-26T04:01:15Z,0,Dire Dormouse,Rodent,,,,,,Earth,,,,,35,68,721,1875,657,1279,,,,,ge-mob-pages
Dire Rat,51557,2012-05-29T05:09:19Z,0,Dire Rat,Rodent,,,,,,Earth,,,,,15,19,1179,1325,370,415,,,Will sometimes spawn as a Plains Footpad.,,ge-mob-pages
Diremite,479933,2011-09-22T01:08:15Z,0,Diremite,Diremite,,,,,,Earth,,x,,,50,59,2339,2792,902,1074,,,,,ge-mob-pages
Diremite Straggler,367714,2012-06-16T22:45:40Z,0,Diremite Straggler,Diremite,,,,,,,,Y,,,35,,,,,,Y,Y,,,ge-mob-pages
Dirty Mongrel,81227,2012-05-29T03:20:43Z,0,Dirty Mongrel,Wolf,,,,,,Lightning,Earth,Y,,,32,73,1590,2759,602,1410,,,,,ge-mob-pages
Dodo (1.x),128733,2012-05-29T05:06:25Z,0,Dodo,Cockatrice,Dodo,,,,,Wind,Ice,,,,15,24,1179,1533,370,478,,,,"The dodo (Raphus cucullatus) was a flightless bird endemic to the Indian Ocean island of Mauritius. Related to pigeons and doves, it stood about a meter tall, weighing about 20 kilograms (44 lb), living on fruit and nesting on the ground. The dodo has been extinct since the mid-to-late 17th century. It is commonly used as the archetype of an extinct species because its extinction occurred during recorded human history, and was directly attributable to human activity.",ge-mob-pages
Dodore,12595,2012-07-27T21:39:30Z,0,Dodore,Ahriman,,,,,,Earth,Wind,x,,x,60,,32022,,5475,,,,"*Dodore will only spawn during umbral weather; however, he will spawn at least once during every cycle of the miasma. In Mor Dhona, the weather will have a chance of shifting daily at 00:00, 08:00, and 16:00; these cycles seem to produce the miasma much more frequently around (but not limited to) the New Moon. *Spawns near the lake north of Brittlebark *Dodore spawns with several Dodore Minions assisting.","Outside of game lore, the Dodore are a mythical race from the folklore of the Solomon Islands. Their physical features include one eye, one arm, one leg, long red hair similar to a horse's tail, and long fingernails, which it uses to kill.",ge-mob-pages
Dodore's Minion,9853,2012-05-30T03:41:37Z,0,Dodore's Minion,Ahriman,,,,,,Earth,Wind,x,,x,55,,19350,,4970,,,,Assists Dodore.,,ge-mob-pages
Doomvoid Guivre,505339,2011-09-19T00:51:26Z,0,Doomvoid Guivre,Drake,,,,,,Lightning,,x,,,75,79,4781,5173,1466,1585,,,,,ge-mob-pages
Dormouse,353783,2011-09-18T02:31:29Z,0,Dormouse,Rodent,,,,,,Earth,,,,,40,44,2402,2598,744,803,,,,,ge-mob-pages
Downcast Hippocerf,307575,2012-04-19T00:50:46Z,0,Downcast Hippocerf,Hippogryph,,,,,,Lightning,,x,,,30,54,439,1234,568,975,,,,,ge-mob-pages
Downy Dunstan,218495,2012-07-12T13:13:19Z,0,Downy Dunstan,Ram,,,,,Male,Wind,,x,,x,42,,17493,,773,,,,"Spawn point varies around (49, 32). Best reached via Camp Glory.","When used to describe a sheep, the term Down refers to a short-wooled sheep from the southern Downs of England, while the name Dunstan is made of of two Old English morphemes meaning ""dark"" and ""stone"" respectively.",ge-mob-pages
Drake Familiar,89585,2011-09-30T14:41:41Z,0,Drake Familiar,Drake,,,,,,Earth,,x,,,19,,2650,,415,,,,,,ge-mob-pages
Dreadwolf,501204,2012-09-29T07:31:21Z,0,Dreadwolf,Wolf,,,,,,Lightning,Earth,,,,25,29,1421,1597,492,552,,,,,ge-mob-pages
Dreamtoad,27864,2012-09-26T03:48:42Z,0,Dreamtoad,Toad,,,,,,Water,,,,,45,73,1537,3356,819,1410,,,,,ge-mob-pages
Drifting Anemone,29338,2011-09-23T13:58:22Z,0,Drifting Anemone,Aurelia,,,,,,Water,,,,,45,73,1140,2667,819,1410,,,,,ge-mob-pages
Drifting Aurelia,29442,2011-09-23T14:05:57Z,0,Drifting Aurelia,Aurelia,,,,,,Water,,,,,20,48,314,1068,427,868,,,,,ge-mob-pages
Drifting Dud,374573,2012-07-10T03:09:58Z,0,Drifting Dud,Bomb,,,,CNJ,,Fire,,Yes,,,23,26,497,603,2215,3000,,,,,ge-mob-pages
Drifting Mine,333457,2011-09-25T01:19:58Z,0,Drifting Mine,Bomb,,,,,,Fire,,,,,,,,,,,,,,,ge-mob-pages
Drunken Dormouse,376843,2012-06-23T10:34:37Z,0,Drunken Dormouse,Rodent,,,,,,Earth,,,,,30,42,,,,,,,,,ge-mob-pages
Drybone Shrew,66234,2012-05-30T03:03:38Z,0,Drybone Shrew,Mole,,,,,,Earth,,,,,10,14,1121,1260,322,360,,,,,ge-mob-pages
Dune Bogy,503419,2012-08-08T18:14:06Z,0,Dune Bogy,Ghost,,,Quest,,,,,,,,,,,,,,,,,,ge-mob-pages
Dusty Devilet,377194,2012-06-23T20:43:27Z,0,Dusty Devilet,Imp,,,,,THM,Ice,,A,,,30,42,,,,,,,,,ge-mob-pages
Dusty Mongrel,499252,2012-06-20T00:48:00Z,0,Dusty Mongrel,Wolf,,,,,,Lightning,Earth,x,,,45,49,2385,2580,819,885,,,,,ge-mob-pages
Dwarf Banemite,51719,2011-09-22T01:06:30Z,0,Dwarf Banemite,Diremite,,,,,,Earth,,x,,,60,64,2847,3081,1095,1183,,,,,ge-mob-pages
Dwarf Diremite,479128,2011-09-22T01:10:39Z,0,Dwarf Diremite,Diremite,,,,,,Earth,,x,,,45,49,2120,2293,819,885,,,,,ge-mob-pages
Earth Elemental,506716,2012-09-26T03:37:43Z,0,Earth Elemental,Elemental,,,,,,Earth,Wind,Yes,,,30,75,1157,4781,2260,7330,x,,,,ge-mob-pages
Earthbound Wrath,329742,2012-06-06T19:43:14Z,0,Earthbound Wrath,Elemental,Earth Elemental,,,,,Earth,,Y,,Y,55,,,,,,Y,,,,ge-mob-pages
Eftstool,372941,2012-06-20T22:42:21Z,0,Eftstool,Funguar,,,,,,Earth,,Y,,,55,,,,,,,,,,ge-mob-pages
Elder Longhorn,30520,2012-07-29T18:40:15Z,0,Elder Longhorn,Aldgoat,,,,,Male,Earth,,Y,,Y,55,,,,,,Y,Y,Spawns along with Longhorn Nannygoats and Longhorn Billygoats,,ge-mob-pages
Elder Mosshorn,13150,2012-08-22T20:03:00Z,0,Elder Mosshorn,Aldgoat,,,,,,Earth,,x,,x,60,,32022,,1095,,,,"* Found just west or south of Nophica Wells in the 17, 33 area to the 17-19, 36 area * Spawns during the daytime 08:00-20:00 * (Place monster characteristics here- For winning setups, see Testimonials) * Assisted by Mosshorn Nannygoat and Mosshorn Billygoat * Horn is required to be broken to drop Mossy Horn. check incapacitation to head for skills required",,ge-mob-pages
Elite Bestiarius,260051,2012-06-06T16:51:06Z,0,Elite Bestiarius,Enemy Humanoid,,,,Lancer,Male,,,x,,,30,50+,,,,,,,,,ge-mob-pages
Elite Eques,355675,2012-06-09T04:01:38Z,0,Elite Eques,Enemy Humanoid,,,,Lancer,,,,Y,,,56,,,,,,,,Assists the Level 63 Magitek Vanguard H-1.,,ge-mob-pages
Elite Funditor,192797,2012-06-06T16:50:21Z,0,Elite Funditor,Enemy Humanoid,,Elezen,,Archer,Male,,,x,,x,50+,50+,,,,,,,Spawns for Imperial Invasion (Event),,ge-mob-pages
Elite Hoplomachus,355768,2012-06-09T04:00:34Z,0,Elite Hoplomachus,Enemy Humanoid,,,,Gladiator,,,,Y,,,56,,,,,,,,Assists the Level 63 Magitek Vanguard H-1.,,ge-mob-pages
Elite Laquearius,355716,2012-06-09T04:00:04Z,0,Elite Laquearius,Enemy Humanoid,,,,Marauder,,,,Y,,,56,,,,,,,,Assists the Level 63 Magitek Vanguard H-1.,,ge-mob-pages
Elite Medicus,355813,2012-06-09T04:01:10Z,0,Elite Medicus,Enemy Humanoid,,,,Conjurer,,,,Y,,,56,,,,,,,,Assists the Level 63 Magitek Vanguard H-1.,,ge-mob-pages
Elite Sagitarius,355904,2012-06-09T04:02:54Z,0,Elite Sagitarius,Enemy Humanoid,,,,Archer,,,,Y,,,56,,,,,,,,Assists the Level 63 Magitek Vanguard H-1.,,ge-mob-pages
Elite Secutor,355951,2012-06-09T04:03:16Z,0,Elite Secutor,Enemy Humanoid,,,,Pugilist,,,,Y,,,56,,,,,,,,Assists the Level 63 Magitek Vanguard H-1.,,ge-mob-pages
Elite Signifer,355607,2012-06-09T03:58:47Z,0,Elite Signifer,Enemy Humanoid,,,,Thaumaturge,,,,Y,,,56,,,,,,,,Assists the Level 63 Magitek Vanguard H-1.,,ge-mob-pages
Elite Speculator,192635,2012-06-06T16:51:31Z,0,Elite Speculator,Enemy Humanoid,,Lalafell,,Conjurer,Male,,,x,,x,50+,50+,,,,,,,Spawns for Imperial Invasion (Event),,ge-mob-pages
Elite Triarius,261448,2012-06-06T16:50:50Z,0,Elite Triarius,Enemy Humanoid,Roegadyn/Hyur,,,Gladiator,Male,,,x,,,30,30,,,,,,,,,ge-mob-pages
Emerald Bee Swarm,499780,2012-06-01T02:40:39Z,0,Emerald Bee Swarm,Swarm,Bees,,,,,Wind,,x,,,10,14,306,688,322,360,,,,,ge-mob-pages
Emerald Salamander,333816,2011-09-19T23:43:50Z,0,Emerald Salamander,Salamander,,,,,,Water,,x,,,75,84,8128,9704,1466,1747,,,,,ge-mob-pages
Emperor Apkallu,421233,2011-09-18T01:26:32Z,0,Emperor Apkallu,Apkallu,,,,,,Wind,,x,,,65,69,2749,2975,1206,1304,,,,,ge-mob-pages
Errant Soul,65829,2011-09-17T17:24:46Z,0,Errant Soul,Ghost,,,,,,Earth,,x,,,1,4,433,485,1150,1285,,,,,ge-mob-pages
Errant Spirt,496631,2011-09-17T18:25:37Z,0,Errant Spirt,Ghost,,,,,,Ice,Fire,,,,1,4,374,485,1150,1285,,,Spawns in small cave not far from camp Bentbranch only at night.,,ge-mob-pages
Escaped Goobbue,479881,2011-09-21T01:39:12Z,0,Escaped Goobbue,Goobbue,,,,,,,,x,,x,1,,670,,230,,,,,,ge-mob-pages
Estinien Wyrmblood,159570,2012-04-21T03:44:43Z,0,Estinien Wyrmblood,Enemy Humanoid,,,,,,,,Yes,,Yes,,,,,,,,,,,ge-mob-pages
Eurylochus,29881,2012-07-29T18:31:36Z,0,Eurylochus,Boar,,,,,,,,Y,,Y,55,,,,,,Y,Y,Spawns along with Princess of Pestilence and Cactuar Jaques.,,ge-mob-pages
Evenfall Firefly,506757,2011-09-22T23:40:45Z,0,Evenfall Firefly,Firefly,,,,,,Fire,,,,,5,40,202,937,267,744,,,,,ge-mob-pages
Evil Eye,506934,2012-04-30T01:26:26Z,0,Evil Eye,Ahriman,,,,,,Earth,,x,,,50,59,3947,4711,4510,5370,,,,,ge-mob-pages
Eyetrap,449437,2011-10-24T06:10:20Z,0,Eyetrap,Landtrap,,Flytrap,,,,Wind,,x,,,55,59,2258,2443,994,1074,,,,,ge-mob-pages
Fachan,28891,2012-09-26T03:36:03Z,0,Fachan,Ahriman,,,,,,Earth,,x,,,40,68,985,2333,3720,6395,,,,,ge-mob-pages
Faerie Funguar,499610,2012-05-30T03:52:02Z,0,Faerie Funguar,Funguar,,,,,,Ice,Fire,,,,15,19,1356,1524,370,415,,,,,ge-mob-pages
Fallen Archmage,317289,2011-09-17T02:28:54Z,0,Fallen Archmage,Fomor,,,,Thaumaturge,,,,,,,75,79,7650,8277,1466,7925,,,,,ge-mob-pages
Fallen Captain,317160,2011-09-17T02:34:00Z,0,Fallen Captain,Fomor,,,,Lancer,,,,,,,75,79,7650,8277,1466,34263,,,,,ge-mob-pages
Fallen Mage,488168,2011-09-17T17:18:08Z,0,Fallen Mage,Fomor,,,,Thaumaturge,,Earth,,,,,57,64,5367,6161,1074,5915,,,,,ge-mob-pages
Fallen Pikeman,342104,2012-05-30T03:21:26Z,0,Fallen Pikeman,Fomor,,,,Lancer,,Fire,,x,,,65,74,6284,7501,1206,1438,,,,,ge-mob-pages
Fallen Soldier,449571,2012-05-30T03:22:19Z,0,Fallen Soldier,Fomor,,,,Lancer,Male,Earth,,x,,,55,64,5161,6161,994,1183,,,,,ge-mob-pages
Fallen Wizard,449360,2011-09-17T17:21:18Z,0,Fallen Wizard,Fomor,,,,Thaumaturge,,Earth,,,,,65,74,6284,7501,1206,7190,,,,,ge-mob-pages
Fallgourd Funguar,283124,2012-05-30T03:52:21Z,0,Fallgourd Funguar,Funguar,,,,,,Ice,,,,,10,14,1172,1317,322,360,,,"* Central Shroud Fallgourd Funguar: ** Spawns around Faerie Funguars, yet is the only one of its kind around them. * South Shroud Fallgourd Funguar: ** May share spawn with Ladybug, Roselet, and Plains Footpad.",,ge-mob-pages
Fat Dodo,270982,2012-05-20T21:31:38Z,0,Fat Dodo,Cockatrice,Dodo,,,,,Wind,,,,,25,34,1578,2054,492,638,,,,,ge-mob-pages
Fellbite Peiste,27251,2012-05-29T03:15:55Z,0,Fellbite Peiste,Basilisk,,,,,,Fire,,x,,,45,73,1590,3448,819,1410,,,,,ge-mob-pages
Feral Dodo,27025,2012-06-23T05:18:45Z,0,Feral Dodo,Cockatrice,Dodo,,,,,Wind,,,,,30,58,549,1540,568,1053,,,,,ge-mob-pages
Feral Watchdog,329188,2012-09-29T07:29:29Z,0,Feral Watchdog,Wolf,,,,,,Lightning,,Y,,,30,39,,,,,,,,,ge-mob-pages
Fevered Doe,421312,2012-06-05T05:05:06Z,0,Fevered Doe,Antelope,,,,,Female,Earth,,,,,30,54,476,1297,568,975,,,,,ge-mob-pages
Figgy Pudding,376947,2012-06-23T20:48:51Z,0,Figgy Pudding,Flan,,,,THM,,,,A,,,30,42,,,,,,,"Flans appear in six (6) different colours. Every colour seems to be attached to certain element. Red : Fire, Blue : Water, Purple: Lightning, Light Green: Earth, Green: Wind, White: Ice",,ge-mob-pages
Fire Bomb,474907,2011-09-25T01:21:32Z,0,Fire Bomb,Bomb,,,,,,Fire,,,,,30,54,494,1329,2840,4875,,,,,ge-mob-pages
Fire Elemental,342914,2012-06-23T05:37:24Z,0,Fire Elemental,Elemental,,,,,,Fire,Water,Yes,,,30,79,1827,5173,2840,7925,x,,,,ge-mob-pages
Firebound Wrath,329769,2012-06-06T19:43:54Z,0,Firebound Wrath,Elemental,Fire Elemental,,,,,Fire,,Y,,Y,55,,,,,,Y,,,,ge-mob-pages
Firedrake,501472,2011-09-19T00:53:35Z,0,Firedrake,Drake,,,,,,Fire,,x,,,60,69,3558,4249,1095,1304,,,,,ge-mob-pages
Firefly,351294,2011-09-22T23:47:54Z,0,Firefly,Firefly,,,,,,Fire,,,,,5,9,673,785,267,310,,,,,ge-mob-pages
Firestarter Imp,497528,2012-05-30T01:50:26Z,0,Firestarter Imp,Imp,,,,Conjurer,,Ice,Fire,x,,,10,40,276,1009,1610,3720,,,,,ge-mob-pages
Flamedrake,433686,2011-09-19T01:01:51Z,0,Flamedrake,Drake,,,,,,Fire,,x,,,70,74,4333,4688,1330,1438,,,,,ge-mob-pages
Flamefist Ahlygg Roh,297025,2012-05-20T03:52:10Z,0,Flamefist Ahlygg Roh,Amalj'aa,,,,Pugilist,,Fire,,Y,,Y,59,59,,,,,,,,,ge-mob-pages
Floating Eye,500541,2012-09-30T04:42:15Z,0,Floating Eye,Ahriman,,,,,,Earth,,,P,,40,49,3243,3870,3720,4425,,,,,ge-mob-pages
Flytrap,388227,2011-10-24T06:09:53Z,0,Flytrap,Landtrap,,Flytrap,,,,Wind,,x,,,40,44,1682,1819,744,803,,,,,ge-mob-pages
Foraging Doe (1.x),474830,2012-09-26T03:56:49Z,0,Foraging Doe,Antelope,,,,,Female,Earth,,,,,25,68,679,1709,492,1279,,,,,ge-mob-pages
Forest Funguar,496314,2012-05-31T13:51:23Z,0,Forest Funguar,Funguar,,,,,,Ice,Fire,,,,1,9,828,1127,230,310,,,,,ge-mob-pages
Forest Roseling,506785,2011-10-24T06:09:23Z,0,Forest Roseling,Landtrap,,Roseling,,,,Wind,,x,,,10,26,122,399,322,506,,,,,ge-mob-pages
Forsaken Soul,324068,2012-06-01T21:52:22Z,0,Forsaken Soul,Ghost,,,,,,Ice,Fire,Y,,,52,52,,,,,,,,,ge-mob-pages
Frenzied Aurelia,437905,2011-09-23T14:21:15Z,0,Frenzied Aurelia,Aurelia,,,,,,,,,,,1,,173,,230,,,,"Spawns as part of the Limsa Lominsa Main Scenario Quest Shapeless Melody. Sthalmann and Y'shtola assist you as party members in fighting this monster, healing you as necessary. If you selected a starting Discipline incapable of dealing sufficient damage to defeat this monster, Sthalmann will defeat the monster for you after you futilely attack it a few times. In essence, you cannot lose the fight.",,ge-mob-pages
Friar's Lantern,500612,2012-09-26T01:13:41Z,0,Friar's Lantern,Wisp,,Wisp,,,,Fire,,,,,35,39,1693,1876,3285,3630,,,,,ge-mob-pages
Frightened Cactuar,328987,2012-07-13T15:09:42Z,0,Frightened Cactuar,Cactuar,,,,,,Earth,,,,,50,50,,,,,,,,,ge-mob-pages
Frightened Lemur,362437,2012-07-12T23:42:24Z,0,Frightened Lemur,Opo-opo,Lemur,,,,,Earth,,,,,50,,,,,,Y,Y,,,ge-mob-pages
Fumbling Funguar,28452,2011-09-21T01:08:02Z,0,Fumbling Funguar,Funguar,,,,,,Ice,,,,,10,31,357,941,322,585,,,,,ge-mob-pages
Furline Mosstrooper,55958,2012-09-05T20:35:28Z,0,Furline Mosstrooper,Enemy Humanoid,,,,,,,,,,,32,,,,,,,,,,ge-mob-pages
Furryfoot Kupli Kipp,247693,2012-06-06T16:33:13Z,0,Furryfoot Kupli Kipp,Moogle,,,,White Mage,Male,,,Yes,,Yes,50,,,,,,Yes,Yes,Casts Cure IV and grants Good King Moggle Mog XII the ability to cast Cure IV after death.,,ge-mob-pages
Gall Gnat,473790,2012-09-30T04:43:35Z,0,Gall Gnat,Gnat,,Ked,,,,Lightning,,x,,,45,49,2782,3010,4095,4425,,,,,ge-mob-pages
Game Dodo,437119,2012-05-30T01:43:45Z,0,Game Dodo,Cockatrice,Dodo,,,,,Wind,,,,,20,40,410,1081,427,744,,,,,ge-mob-pages
Gaoler's Lantern,295564,2012-05-20T00:50:24Z,0,Gaoler's Lantern,Wisp,,,,,,Fire,,Y,,,39,39,,,,,,,,,ge-mob-pages
Garuda,251148,2012-05-21T03:10:07Z,0,Garuda,Primal,,,,,,Wind,,Yes,,Yes,,,,,,,Yes,Yes,,,ge-mob-pages
Gas Bomb,508316,2012-08-24T04:11:33Z,0,Gas Bomb,Bomb,,,,,,Fire,Wind,,,,45,49,2385,2580,4095,4425,,,,,ge-mob-pages
Ghost Slug,43929,2011-09-24T00:42:36Z,0,Ghost Slug,Slug,,,,,,Water,,,,,40,44,3363,3638,744,803,,,,,ge-mob-pages
Giant Bat,460431,2012-04-19T00:52:34Z,0,Giant Bat,Bat,,Bat,,,,Wind,,x,,,25,29,1263,1420,492,552,,,,,ge-mob-pages
Giant Crab,362013,2012-05-29T05:01:57Z,0,Giant Crab,Crab,,,,Archer,,Water,,,,,25,29,1578,1774,492,552,,,,,ge-mob-pages
Giant Gnat,307495,2012-05-24T16:16:15Z,0,Giant Gnat,Gnat,,,,,,Lightning,,Y,,,32,32,,,,,,,,,ge-mob-pages
Giant Remora,26559,2012-09-26T20:10:58Z,0,Giant Remora,Angler,Orobon,,,,,Water,,Yes,,Yes,19,,2695,,380,,,,Assisted by 7 Remoras. Found on Map 3.,,ge-mob-pages
Giant Slug,373685,2011-09-23T20:18:50Z,0,Giant Slug,Slug,,,,,,Water,,,,,30,54,768,1803,568,975,,,,,ge-mob-pages
Gigantoad,43201,2012-05-28T00:57:02Z,0,Gigantoad,Toad,,,,,,Water,,x,,,55,64,3709,4428,994,1183,,,,,ge-mob-pages
Gloom Lurker,28535,2012-02-26T03:26:39Z,0,Gloom Lurker,Wisp,,,,,,Fire,,Yes,,,17,18,288,307,1700,1955,,,Found on Map 4 after one or more Gloom Seekers enter the clam at Llymlaen's Trial.,,ge-mob-pages
Gloom Seeker,27131,2012-05-12T04:38:26Z,0,Gloom Seeker,Wisp,,,,,,Fire,,,,,15,,245,,1500,,Yes,Yes,"Spawns in groups of 4 out of the clam at (5-4) on Map 1, and then travels down to (7-5) on Map 4 where it enters another clam. This clam then spawns groups of 12 Gloom Lurkers for a set amount of time, depending on how many Gloom Seekers made it to the clam. Cant be killed and will not engage a player, but will disappear if it loses enough health.",,ge-mob-pages
Glowfly,496503,2011-09-23T00:04:12Z,0,Glowfly,Firefly,,,,,,Fire,,,,,10,14,816,917,322,360,,,,,ge-mob-pages
Gluttonous Gertrude,215425,2012-05-28T00:10:35Z,0,Gluttonous Gertrude,Cockatrice,,,,,,Wind,Ice,x,,x,42,,32487,,773,,,,Involved in the quest Insulted Intelligence.,,ge-mob-pages
Goblin Bouncer,34620,2012-05-30T03:40:11Z,0,Goblin Bouncer,Goblin,,,,,,Fire,,,,,50,59,2923,3489,902,1074,,,,,ge-mob-pages
Goblin Braggadocio,76626,2011-09-20T01:13:31Z,0,Goblin Braggadocio,Goblin,,,,,,Fire,,,,,55,,19350,,994,,,,,,ge-mob-pages
