mob_name,zone,map_coords,event_or_quest,level_range,drops,behavior_flags,source
Emerald Bee Swarm,North Shroud,"19-17, 19-22",,10-14,"{{Drops|Name=Beehive Chip|0|0}}, {{Drops|Name=Honey| 0|0}}, {{Drops|Name=Silex| 0|0}}",A,ge-mob-pages
Emerald Salamander,Eastern La Noscea,37-14,,,,A,ge-mob-pages
Emperor Apkallu,Eastern La Noscea,,,,"{{Drops|Name=Apkallu Egg||}},{{Drops|Name=Apkallu Down||}},{{Drops|Name=Jellyfish Umbrella||}},{{Drops|Name=Saber Sardine||}},{{Drops|Name=Wahoo||}}",A,ge-mob-pages
Emperor Apkallu,Upper La Noscea,23-11,,,"{{Drops|Name=Apkallu Egg||}},{{Drops|Name=Apkallu Down||}},{{Drops|Name=Jellyfish Umbrella||}},{{Drops|Name=Saber Sardine||}},{{Drops|Name=Wahoo||}}",A,ge-mob-pages
Errant Soul,Central Thanalan,"29-24, 30-21, 32-21",,,"{{Drops|Name=Cotton Fent|0|3}},{{Drops|Name=Hempen Fent|3|3}},{{Drops|Name=Hempen Yarn|0|3}},{{Drops|Name=Undyed Hempen Cloth|0|3}},{{Drops|Name=Undyed Cotton Cloth||}}",A,ge-mob-pages
Errant Spirt,Central Shroud,,,,"{{Drops|Name=Undyed Hempen Cloth||}},{{Drops|Name=Cotton Fent||}},{{Drops|Name=Undyed Cotton Cloth||}},{{Drops|Name=Hempen Fent||}},{{Drops|Name=Hempen Yarn||}}",,ge-mob-pages
Escaped Goobbue,Ul'dah,,Flowers for All,1,{{Drops|Name=Velodyna Cosmos||}},,ge-mob-pages
Estinien Wyrmblood,Coerthas,,Into the Dragon's Maw,,,A,ge-mob-pages
Eurylochus,Locke's Lie,,Skirmish,55,,A,ge-mob-pages
Evenfall Firefly,Central Shroud,,"Light for the Rites, An Old Fashioned Exorcism",,,,ge-mob-pages
Evenfall Firefly,South Shroud,,"Leaders of the Pack, Hidden Behind a Hide",,,,ge-mob-pages
Evil Eye,Mor Dhona,,,,,A,ge-mob-pages
Evil Eye,Central Shroud,,,,,A,ge-mob-pages
Evil Eye,Central Thanalan,33-34,,55-58,,A,ge-mob-pages
Eyetrap,Central Shroud,,,55 - 59,,A,ge-mob-pages
Fachan,East Shroud,,The All-seeing Eyes,,{{Drops|Name=Ahriman Wing|2|7}},A,ge-mob-pages
Fachan,North Shroud,,All Treespeak is a Stage,,{{Drops|Name=Ahriman Wing|0|7}},A,ge-mob-pages
Faerie Funguar,South Shroud,,,,"{{Drops|Name=Cotton Boll||}}, {{Drops|Name=Shriekshroom||}}, {{Drops|Name=Willow Log||}}",,ge-mob-pages
Fallen Archmage,Lower La Noscea,,,,,,ge-mob-pages
Fallen Archmage,Eastern La Noscea,,,,,,ge-mob-pages
Fallen Archmage,Central Thanalan,,,,,,ge-mob-pages
Fallen Captain,Mor Dhona,,,,"{{Drops|Name=Bronze Arrow||}},{{Drops|Name=Iron Chain||}},{{Drops|Name=Iron Plate||}}",,ge-mob-pages
Fallen Captain,Lower La Noscea,,,,"{{Drops|Name=Bronze Arrow||}},{{Drops|Name=Iron Chain||}},{{Drops|Name=Iron Plate||}}",,ge-mob-pages
Fallen Captain,Eastern La Noscea,,,,"{{Drops|Name=Bronze Arrow||}},{{Drops|Name=Iron Chain||}},{{Drops|Name=Iron Plate||}}",,ge-mob-pages
Fallen Captain,Upper La Noscea,,,,"{{Drops|Name=Bronze Arrow||}},{{Drops|Name=Iron Chain||}},{{Drops|Name=Iron Plate||}}",,ge-mob-pages
Fallen Captain,North Shroud,,,,"{{Drops|Name=Bronze Arrow||}},{{Drops|Name=Iron Chain||}},{{Drops|Name=Iron Plate||}}",,ge-mob-pages
Fallen Captain,West Shroud,,,,"{{Drops|Name=Bronze Arrow||}},{{Drops|Name=Iron Chain||}},{{Drops|Name=Iron Plate||}}",,ge-mob-pages
Fallen Captain,Central Thanalan,,,,"{{Drops|Name=Bronze Arrow||}},{{Drops|Name=Iron Chain||}},{{Drops|Name=Iron Plate||}}",,ge-mob-pages
Fallen Captain,Eastern Thanalan,,,,"{{Drops|Name=Bronze Arrow||}},{{Drops|Name=Iron Chain||}},{{Drops|Name=Iron Plate||}}",,ge-mob-pages
Fallen Captain,Western Thanalan,,,,"{{Drops|Name=Bronze Arrow||}},{{Drops|Name=Iron Chain||}},{{Drops|Name=Iron Plate||}}",,ge-mob-pages
Fallen Captain,Northern Thanalan,9-17 in cave accesible at 9-18,,,"{{Drops|Name=Bronze Arrow||}},{{Drops|Name=Iron Chain||}},{{Drops|Name=Iron Plate||}}",,ge-mob-pages
Fallen Captain,Southern Thanalan,,,,"{{Drops|Name=Bronze Arrow||}},{{Drops|Name=Iron Chain||}},{{Drops|Name=Iron Plate||}}",,ge-mob-pages
Fallen Mage,Lower La Noscea,,,57 - 64,{{Drops|Name=Flax||}},,ge-mob-pages
Fallen Mage,Upper La Noscea,,,60 - 64,{{Drops|Name=Flax||}},,ge-mob-pages
Fallen Mage,Central Thanalan,,,60 - 64,{{Drops|Name=Flax||}},,ge-mob-pages
Fallen Pikeman,Eastern La Noscea,,,65 - 74,"{{Drops|Name=Iron Chain||}},{{Drops|Name=Iron Plate||}}",A,ge-mob-pages
Fallen Pikeman,Western La Noscea,,,65 - 69,"{{Drops|Name=Iron Chain||}},{{Drops|Name=Iron Plate||}}",A,ge-mob-pages
Fallen Pikeman,Upper La Noscea,20-11 in cave accessible at 21-11,,70 - 74,,A,ge-mob-pages
Fallen Pikeman,East Shroud,,,70 - 74,,A,ge-mob-pages
Fallen Pikeman,Eastern Thanalan,49-25 in a cave,,65 - 69,"{{Drops|Name=Iron Chain||}},{{Drops|Name=Iron Plate||}}",A,ge-mob-pages
Fallen Pikeman,Northern Thanalan,,,65 - 69,"{{Drops|Name=Iron Chain||}},{{Drops|Name=Iron Plate||}}",A,ge-mob-pages
Fallen Pikeman,Southern Thanalan,,,70 - 74,,A,ge-mob-pages
Fallen Soldier,Lower La Noscea,,,55 - 64,"{{Drops|Name=Bronze Arrow||}},{{Drops|Name=Iron Chain||}},{{Drops|Name=Iron Plate||}}",A,ge-mob-pages
Fallen Soldier,Upper La Noscea,,,60 - 64,"{{Drops|Name=Bronze Arrow||}},{{Drops|Name=Iron Plate||}}",A,ge-mob-pages
Fallen Soldier,Central Shroud,27-40 in a cave,,55 - 59,"{{Drops|Name=Bronze Arrow||}},{{Drops|Name=Iron Chain||}},{{Drops|Name=Iron Plate||}}",A,ge-mob-pages
Fallen Soldier,East Shroud,,,60 - 64,"{{Drops|Name=Bronze Arrow||}},{{Drops|Name=Iron Plate||}}",A,ge-mob-pages
Fallen Soldier,Central Thanalan,32-36,,55 - 64,"{{Drops|Name=Bronze Arrow||}},{{Drops|Name=Iron Chain||}},{{Drops|Name=Iron Plate||}}",A,ge-mob-pages
Fallen Soldier,Southern Thanalan,,,60 - 64,"{{Drops|Name=Bronze Arrow||}},{{Drops|Name=Iron Plate||}}",A,ge-mob-pages
Fallen Wizard,Eastern La Noscea,,,65 - 74,"{{Drops|Name=Brass Plate||}},{{Drops|Name=Coal Tar||}},{{Drops|Name=Flax||}},{{Drops|Name=Iron Arrow||}}",,ge-mob-pages
Fallen Wizard,Western La Noscea,,,65 - 69,"{{Drops|Name=Brass Plate||}},{{Drops|Name=Coal Tar||}},{{Drops|Name=Flax||}},{{Drops|Name=Iron Arrow||}}",,ge-mob-pages
Fallgourd Funguar,Central Shroud,35-45,,10 -14,"{{Drops|Name=Cotton Boll||}}, {{Drops|Name=Shriekshroom||}}, {{Drops|Name=Willow Log||}}",,ge-mob-pages
Fallgourd Funguar,South Shroud,44-48,,,,,ge-mob-pages
Fat Dodo,Lower La Noscea,,,25 - 29,"{{Drops|Name=Dodo Feather|0|0}}, {{Drops|Name=Dodo Tenderloin|0|0}}, {{Drops|Name=Dodo Skin|0|0}}, {{Drops|Name=Dodo Egg|0|0}}, {{Drops|Name=Salt Leek|0|0}}, {{Drops|Name=Paprika|0|0}}",P,ge-mob-pages
Fat Dodo,Western Thanalan,34-16,,30 - 34,"{{Drops|Name=Dodo Feather|0|0}}, {{Drops|Name=Dodo Tenderloin|0|0}}, {{Drops|Name=Dodo Skin|0|0}}, {{Drops|Name=Dodo Egg|0|0}}, {{Drops|Name=Salt Leek|0|0}}, {{Drops|Name=Paprika|0|0}}",P,ge-mob-pages
Fellbite Peiste,Southern Thanalan,,"Whipping the Curs, Dunesfolk for Dinner",40-52,{{Drops|Name=Mudstone|Link=|1|1}},A,ge-mob-pages
Fellbite Peiste,Eastern Thanalan,,"Stalking the Stalkers, Bigger Fish to Fry, Desert Defilement",,,A,ge-mob-pages
Feral Dodo,Lower La Noscea,,,,"{{Drops|Name=Dodo Feather||}},{{Drops|Name=Dodo Tenderloin||}},{{Drops|Name=Dodo Skin||}},{{Drops|Name=Dodo Egg||}},{{Drops|Name=Salt Leek||}}",P,ge-mob-pages
Feral Dodo,Western La Noscea,,Wyrston's Herd,,"{{Drops|Name=Dodo Feather||}},{{Drops|Name=Dodo Tenderloin||}},{{Drops|Name=Dodo Skin||}},{{Drops|Name=Dodo Egg||}},{{Drops|Name=Salt Leek||}}",P,ge-mob-pages
Feral Dodo,Cassiopeia Hollow,,,,"{{Drops|Name=Dodo Feather||}},{{Drops|Name=Dodo Tenderloin||}},{{Drops|Name=Dodo Skin||}},{{Drops|Name=Dodo Egg||}},{{Drops|Name=Salt Leek||}}",P,ge-mob-pages
Feral Dodo,Western Thanalan,,"A Drop in the Pond, Dodos and Popotoes",,"{{Drops|Name=Dodo Feather|0|6}},{{Drops|Name=Dodo Tenderloin|0|6}},{{Drops|Name=Dodo Skin|0|6}},{{Drops|Name=Dodo Egg|1|6}},{{Drops|Name=Salt Leek|0|6}},{{Drops|Name=Paprika|1|6}}",P,ge-mob-pages
Feral Watchdog,Central Shroud,Humblehearth,,30-39,"{{Drops|Name=Blood Currants|Link=|17|88}}, {{Drops|Name=Wolf Hide|Link= |22|88}}, {{Drops|Name=Wolf Fang|Link= |40|88}}",A,ge-mob-pages
Fevered Doe,Central Shroud,,The Root of the Problem,30 - 42,{{Drops|Name=Midland Basil| 1|8}},P,ge-mob-pages
Figgy Pudding,The Mun-Tuy Cellars,,Best Cellars,30-42,{{Drops|Name=Pudding Flesh|3|15}},A,ge-mob-pages
Fire Bomb,Lower La Noscea,,Bombs Away,,,,ge-mob-pages
Fire Elemental,Lower La Noscea,,,30-54,"{{Drops|Name=Fire Moraine|Link=|0|0}}, {{Drops|Name=Radiant Fire Moraine|Link=|0|0}}, {{Drops|Name=Eye of Fire|Link=|0|0}}",A,ge-mob-pages
Fire Elemental,Eastern Thanalan,,,40-49,"{{Drops|Name=Fire Moraine|Link=|0|0}}, {{Drops|Name=Radiant Fire Moraine|Link=|0|0}}, {{Drops|Name=Eye of Fire|Link=|0|0}}, {{Drops|Name=Fire Cluster|Link=|0|0}}",A,ge-mob-pages
Fire Elemental,Western Thanalan,Nophica's Wells,Secret of the Sewers,30-42,,A,ge-mob-pages
Fire Elemental,Eastern La Noscea,,,70-79,,A,ge-mob-pages
Firebound Wrath,Central Shroud,Sorrel Haven,The Chorus of Cataclysm,55,,A,ge-mob-pages
Firedrake,Coerthas Eastern Highlands,51-4,,,,A,ge-mob-pages
Firedrake,Coerthas Eastern Lowlands,56-26,,,,A,ge-mob-pages
Firefly,Lower La Noscea,,,,"{{Drops|Name=Formic Acid||}}, {{Drops|Name=Firefly Elytron||}}, {{Drops|Name=Flax||}}, {{Drops|Name=Moko Grass||}}",,ge-mob-pages
Firefly,Central Shroud,32-34,,,"{{Drops|Name=Cotton Boll||}}, {{Drops|Name=Flax||}}, {{Drops|Name=Moko Grass||}}",,ge-mob-pages
Firestarter Imp,Eastern La Noscea,,"An Imp in Sheep's Clothing, Fiend in the Flock, Escape from Cell B17",20 - 32,"{{Drops|Name=Cinderfoot Olive||}},{{Drops|Name=Imp Wing||}},{{Drops|Name=Crow Feather||}},{{Drops|Name=Bone Chip||}},{{Drops|Name=Vitriol||}},{{Drops|Name=Millioncorn}}",A,ge-mob-pages
Firestarter Imp,Lower La Noscea,,,10 - 26,"{{Drops|Name=Cinderfoot Olive||}},{{Drops|Name=Imp Wing||}},{{Drops|Name=Crow Feather||}},{{Drops|Name=Bone Chip||}},{{Drops|Name=Vitriol||}}",A,ge-mob-pages
Firestarter Imp,Western La Noscea,,"Burning Down the Houses, Behest: Camp Skull Valley",10 - 40,"{{Drops|Name=Cinderfoot Olive||}},{{Drops|Name=Imp Wing||}},{{Drops|Name=Crow Feather||}},{{Drops|Name=Bone Chip||}},{{Drops|Name=Vitriol||}}",A,ge-mob-pages
Firestarter Imp,Central Shroud,,,10 - 26,"{{Drops|Name=Cinderfoot Olive||}},{{Drops|Name=Imp Wing||}},{{Drops|Name=Crow Feather||}},{{Drops|Name=Bone Chip||}},{{Drops|Name=Vitriol||}}",A,ge-mob-pages
Firestarter Imp,North Shroud,,Tricks of the Traders,10 - 40,"{{Drops|Name=Cinderfoot Olive||}},{{Drops|Name=Imp Wing||}},{{Drops|Name=Crow Feather||}},{{Drops|Name=Bone Chip||}},{{Drops|Name=Vitriol||}}",A,ge-mob-pages
Firestarter Imp,South Shroud,,"Impish Intentions, Hidden Behind a Hide, Leaders of the Pack",20 - 40,"{{Drops|Name=Cinderfoot Olive||}},{{Drops|Name=Imp Wing||}},{{Drops|Name=Crow Feather||}},{{Drops|Name=Bone Chip||}},{{Drops|Name=Vitriol||}}",A,ge-mob-pages
Firestarter Imp,Eastern Thanalan,,,20 - 40,"{{Drops|Name=Cinderfoot Olive||}},{{Drops|Name=Imp Wing||}},{{Drops|Name=Crow Feather||}},{{Drops|Name=Bone Chip||}},{{Drops|Name=Vitriol||}}",A,ge-mob-pages
Firestarter Imp,Western Thanalan,,"Just One of the Dodos, The Devilet Inside",20 - 40,"{{Drops|Name=Cinderfoot Olive|0|2}},{{Drops|Name=Imp Wing|0|2}},{{Drops|Name=Crow Feather|0|2}},{{Drops|Name=Bone Chip|0|2}},{{Drops|Name=Vitriol|0|2}}",A,ge-mob-pages
Flamedrake,Western La Noscea,,,,,A,ge-mob-pages
Flamedrake,Eastern Thanalan,20-46,,,,A,ge-mob-pages
Flamedrake,Northern Thanalan,12-19,,,,A,ge-mob-pages
Flamedrake,Coerthas Central Highlands,41-15,,,,A,ge-mob-pages
Flamedrake,Coerthas Eastern Highlands,55-7,,,,A,ge-mob-pages
Flamefist Ahlygg Roh,Zahar'ak,,,59,"{{Drops|Name=Inferno Lamp|Link=Ifrit Bleeds We Can Kill It|100%}}, {{Drops|Name=Gold Zahar'ak Coffer Key|0|0}}, {{Drops|Name=Inferno Taper|Link=|0|0}}, {{Drops|Name=Darksteel Amalj'ok|Link=|0|0}}, {{Drops|Name=Thanalan Tea Leaves|Link=|0|0}}, {{Drops|Name=Buffalo Sirloin|Link=|0|0}}, {{Drops|Name=Sagolii Sage|Link=|0|0}}",A,ge-mob-pages
Floating Eye,The Tam-Tara Deepcroft,6-5,,40-42,{{Drops|Name=Ahriman Wing|1|3}},P,ge-mob-pages
Floating Eye,Mistbeard Cove,8-6,,40-44,"{{Drops|Name=Chocobo Feather|2|10}},{{Drops|Name=Ahriman Wing|7|10}}",A,ge-mob-pages
Flytrap,Western La Noscea,19-7,,40 - 45,,A,ge-mob-pages
Foraging Doe (1.x),South Shroud,,An Enemy in the Orchards,,,P,ge-mob-pages
Foraging Doe (1.x),North Shroud,,Necrologos: Rockbound Mists,40-52,"{{Drops|Name=Popoto|1|10}},{{Drops|Name=Midland Basil|2|10}},{{Drops|Name=Antelope Shank|1|10}}",P,ge-mob-pages
Forest Funguar,Central Shroud,28-29,,1-3,"{{Drops|Name=Cotton Boll|6|22}}, {{Drops|Name=Cotton Boll +1|Link=Cotton Boll|1|22}}, {{Drops|Name=Shriekshroom|4|22}}, {{Drops|Name=Shriekshroom +1|Link=Shriekshroom|0|22|}}, {{Drops|Name=Buffalo Beans|4|22}}, {{Drops|Name=Buffalo Beans+1|Link=Buffalo Beans|0|22|}}, {{Drops|Name=Kukuru Bean|1|22}}, {{Drops|Name=Kukuru Bean+1|Link=Kukuru Bean|0|22|}}",P,ge-mob-pages
Forest Roseling,North Shroud,,Help the Children,,,A,ge-mob-pages
Forsaken Soul,The Dzemael Darkhold,,,52,{{Drops|Name=Undyed Velveteen|Link=|0|0}},A,ge-mob-pages
Frenzied Aurelia,Y'shtola's Ship (Instance),,,,,,ge-mob-pages
Friar's Lantern,The Tam-Tara Deepcroft,,,35-39,,A,ge-mob-pages
Friar's Lantern,Copperbell Mines,3-4,,37-39,,A,ge-mob-pages
Frightened Cactuar,The Battle for the Golden Bazaar,38-19,The Battle for the Golden Bazaar,50,,P,ge-mob-pages
Frightened Lemur,The Battle for Hyrstmill,,The Battle for Hyrstmill,50,,P,ge-mob-pages
Fumbling Funguar,East Shroud,,Wanted: Alvara Sourkiss,,,,ge-mob-pages
Fumbling Funguar,North Shroud,,Fungicide,,,,ge-mob-pages
Furline Mosstrooper,North Shroud,,The Call of Nature,32,,A,ge-mob-pages
Furryfoot Kupli Kipp,Thornmarch,,A Feast of Fools,50,,A,ge-mob-pages
Gall Gnat,Mistbeard Cove,9-4,,48-49,,A,ge-mob-pages
Gall Gnat,Coerthas Central Highlands,34-28,,,,A,ge-mob-pages
Gall Gnat,Coerthas Western Highlands,18-24,,,,A,ge-mob-pages
Gall Gnat,Coerthas Eastern Lowlands,49-26,,,,A,ge-mob-pages
Gall Gnat,Western Thanalan,,,40 - 41,,A,ge-mob-pages
Game Dodo,Eastern La Noscea,,"Save the Lettuce Save the World, Escape from Cell B17,Fiend in the Flock",20-32,"{{Drops|Name=Dodo Feather||}},{{Drops|Name=Dodo Tenderloin||}},{{Drops|Name=Dodo Skin||}},{{Drops|Name=Dodo Egg||}},{{Drops|Name=Salt Leek||}}",P,ge-mob-pages
Game Dodo,Western Thanalan,,"The Lady's Bite, Just One of the Dodos",,"{{Drops|Name=Dodo Feather|0|4}},{{Drops|Name=Dodo Tenderloin|0|4}},{{Drops|Name=Dodo Skin|0|4}},{{Drops|Name=Dodo Egg|0|4}},{{Drops|Name=Salt Leek|0|4}}",P,ge-mob-pages
Gaoler's Lantern,The Thousand Maws of Toto-Rak,,,39,,A,ge-mob-pages
Garuda,The Howling Eye,,In for Garuda Wakening,,,A,ge-mob-pages
Garuda,The Howling Eye,,Taming the Tempest,,,A,ge-mob-pages
Gas Bomb,Copperbell Mines,4-5,Bombs Away,45-47,"{{Drops|Name=Latex|6|8}}, {{Drops|Name=Bomb Arm|5|8}}, {{Drops|Name=Brimstone|1|8}}",,ge-mob-pages
Gas Bomb,Copperbell Mines,"5-5, 4-6",,45-49,"{{Drops|Name=Latex|6|8}}, {{Drops|Name=Bomb Arm|5|8}}, {{Drops|Name=Brimstone|1|8}}, {{Drops|Name=Bomb Ash||}}",,ge-mob-pages
Gas Bomb,Western Thanalan,10-23,,,{{Drops|Name=Bomb Ash||}},,ge-mob-pages
Ghost Slug,Upper La Noscea,Caves,,,"{{Drops|Name=Muddy Water||}},{{Drops|Name=Laurel||}},{{Drops|Name=Viscous Secretions||}},{{Drops|Name=White Coral||}},{{Drops|Name=Hawksbill Shell||}}",P,ge-mob-pages
Giant Bat,Lower La Noscea,,,,"{{Drops|Name=Bat Fang||}},{{Drops|Name=Bat Wing||}}",A,ge-mob-pages
Giant Bat,Cassiopeia Hollow,,,,"{{Drops|Name=Bat Fang||}},{{Drops|Name=Bat Wing||}}",A,ge-mob-pages
Giant Bat,Central Shroud,,,,"{{Drops|Name=Bat Fang||}},{{Drops|Name=Bat Wing||}}",A,ge-mob-pages
Giant Bat,The Mun-Tuy Cellars,,,,"{{Drops|Name=Bat Fang||}},{{Drops|Name=Bat Wing||}}",A,ge-mob-pages
Giant Crab,Eastern La Noscea,"36-25, 38-25, 34/35-24/25, 37-25, 38-25 37-23, 37-19, 40-18, 35-15",,20-29,"{{Drops|Name=Megalocrab Leg|54|155}},{{Drops|Name=Megalocrab Leg +3|Link=Megalocrab Leg|7|155}},{{Drops|Name=Malm Kelp|3|155}},{{Drops|Name=Rothlyt Oyster|28|155}},{{Drops|Name=Rothlyt Oyster +3|Link=Rothlyt Oyster|3|155}}",P,ge-mob-pages
Giant Crab,Western La Noscea,8-23,,,"{{Drops|Name=Silver Fish Hook||}},{{Drops|Name=Megalocrab Leg||}},{{Drops|Name=Malm Kelp||}},{{Drops|Name=Green Stainsand||}},{{Drops|Name=Blue Stainsand||}},{{Drops|Name=Green Megalocrab Shell||}}",P,ge-mob-pages
Giant Gnat,Lower La Noscea,30-27,,32,{{Drops|Name=Rat Tail|Link=|1|1}},A,ge-mob-pages
Giant Remora,Shposhae,7-5 also 5-5 map 3,,19,"{{Drops|Name=Pirate's Bandana|3|15}}, {{Drops|Name=Jellyfish Umbrella|2|15}}, {{Drops|Name=Orobon Liver|3|15}}, {{Drops|Name=Marmot Pelt|1|15}}, {{Drops|Name=Black Sole|1|15}}, {{Drops|Name=Blue Coral|1|15}}",A,ge-mob-pages
Giant Slug,Cassiopeia Hollow,,Wanted: Ser Aucheforne of the High Tide,,"{{Drops|Name=Viscous Secretions||}},{{Drops|Name=Muddy Water||}},{{Drops|Name=Laurel||}},{{Drops|Name=White Coral||}},{{Drops|Name=Hawksbill Shell||}}",P,ge-mob-pages
Giant Slug,Central Shroud,,From the Sea to the Trees,,"{{Drops|Name=Viscous Secretions||}},{{Drops|Name=Muddy Water||}},{{Drops|Name=Laurel||}},{{Drops|Name=White Coral||}},{{Drops|Name=Hawksbill Shell||}}",P,ge-mob-pages
Giant Slug,North Shroud,,,,"{{Drops|Name=Viscous Secretions||}},{{Drops|Name=Muddy Water||}},{{Drops|Name=Laurel||}},{{Drops|Name=White Coral||}},{{Drops|Name=Hawksbill Shell||}}",P,ge-mob-pages
Gigantoad,Upper La Noscea,25-14,,,,A,ge-mob-pages
Gigantoad,West Shroud,Turning Leaf,,,{{Drops|Name=Unmarked Keystone|Link=|1|2}},A,ge-mob-pages
Gloom Lurker,Shposhae,7-5,,17-18,"{{Drops|Name=Steel Shposhae Coffer Key|3|28}}, {{Drops|Name=Obsidian|3|28}}, {{Drops|Name=Firepot|38|28}}, {{Drops|Name=Red Coral|5|28}}",A,ge-mob-pages
Gloom Seeker,Shposhae,5-4,,15,,P,ge-mob-pages
Glowfly,Central Shroud,33-37,,8 - 10,"{{Drops|Name=Cotton Boll||}}, {{Drops|Name=Flax||}}, {{Drops|Name=Moko Grass||}}, {{Drops|Name=Bronze Arrowheads||}}, {{Drops|Name=Firefly Elytron||}}",,ge-mob-pages
Glowfly,Lower La Noscea,29-26,,,"{{Drops|Name=Bronze Arrowheads||}}, {{Drops|Name=Cotton Boll||}}, {{Drops|Name=Firefly Elytron||}}, {{Drops|Name=Flax||}}, {{Drops|Name=Moko Grass||}}",,ge-mob-pages
Glowfly,Western La Noscea,,,,"{{Drops|Name=Cotton Boll|2|10}}, {{Drops|Name=Flax|1|10}}, {{Drops|Name=Moko Grass|1|10}}",,ge-mob-pages
Gluttonous Gertrude,Lower La Noscea,"31,32",,,"{{Drops|Name=Dodo Skin|1|2}}, {{Drops|Name=Dodo Feather|1|2}}, {{Drops|Name=Dodo Tenderloin|2|2}}, {{Drops|Name=Dodo Egg|1|2}}, {{Drops|Name=Salt Leek|0|2}}, {{Drops|Name=Velveteen Beret|0|2}}, {{Drops|Name=Velveteen Coif|0|2}}, {{Drops|Name=Velveteen Scarf|0|2}}, {{Drops|Name=Iron Barbut|0|2}}, {{Drops|Name=Shield of the Savage|0|2}}, {{Drops|Name=Steel Celata|0|2}}, {{Drops|Name=Linen Hat|1|2}}",P,ge-mob-pages
Goblin Bouncer,West Shroud,,,,"{{Drops|Name=Brass Gobcog||}}, {{Drops|Name=Ragstone Whetstone||}}",P,ge-mob-pages
Goblin Bouncer,North Shroud,,,,"{{Drops|Name=Brass Gobcog||}}, {{Drops|Name=Ragstone Whetstone||}}",P,ge-mob-pages
Goblin Bouncer,Northern Thanalan,,,,"{{Drops|Name=Brass Gobcog||}}, {{Drops|Name=Ragstone Whetstone||}}",P,ge-mob-pages
Goblin Bouncer,Western Thanalan,,,,"{{Drops|Name=Brass Gobcog||}}, {{Drops|Name=Ragstone Whetstone||}}",P,ge-mob-pages
Goblin Bouncer,South Shroud,,,,"{{Drops|Name=Brass Gobcog||}}, {{Drops|Name=Ragstone Whetstone||}}",P,ge-mob-pages
Goblin Bouncer,Coerthas Central Highlands,,,,"{{Drops|Name=Brass Gobcog||}}, {{Drops|Name=Ragstone Whetstone||}}",P,ge-mob-pages
Goblin Bouncer,Coerthas Eastern Lowlands,,,,"{{Drops|Name=Brass Gobcog||}}, {{Drops|Name=Ragstone Whetstone||}}",P,ge-mob-pages
Goblin Bouncer,Mor Dhona,"Brittlebark (11, 17)",,49-54,"{{Drops|Name=Black Pearl |10|20}}, {{Drops|Name=Blunt Goblin Longsword |1 |20}}, {{Drops|Name=Brass Gobcog |5 |20}}, {{Drops|Name=Marjoram |7 |20}}, {{Drops|Name=Ragstone Whetstone |4 |20}}, {{Drops|Name=White Truffle |6 |20}}",P,ge-mob-pages
Goblin Braggadocio,North Shroud,,,55,"{{Drops|Name=Woolen Sleeves (Red)||}}, {{Drops|Name=Broken Goblin Longsword||}}, {{Drops|Name=Goblin Mask||}}, {{Drops|Name=Basilisk Whetstone||}}, {{Drops|Name=Grenade Arm||}}",,ge-mob-pages
Goblin Freesword,North Shroud,,,,"{{Drops|Name=Broken Goblin Dagger||}}, {{Drops|Name=Brass Gobcog||}}, {{Drops|Name=Goblin Mask||}}, {{Drops|Name=Acorn Cookie||}}, {{Drops|Name=Mudstone ||}}",,ge-mob-pages
Goblin Freesword,East Shroud,,,,"{{Drops|Name=Broken Goblin Gladius||}}, {{Drops|Name=Brass Gobcog||}}, {{Drops|Name=Goblin Mask||}}, {{Drops|Name=Acorn Cookie||}}, {{Drops|Name=Mudstone ||}}",,ge-mob-pages
Goblin Freesword,Western La Noscea,,,,"{{Drops|Name=Broken Goblin Gladius||}}, {{Drops|Name=Brass Gobcog||}}, {{Drops|Name=Goblin Mask||}}, {{Drops|Name=Acorn Cookie||}}, {{Drops|Name=Mudstone ||}}",,ge-mob-pages
Goblin Freesword,Coerthas Central Highlands,,,,"{{Drops|Name=Broken Goblin Gladius||}}, {{Drops|Name=Brass Gobcog||}}, {{Drops|Name=Goblin Mask||}}, {{Drops|Name=Acorn Cookie||}}, {{Drops|Name=Mudstone ||}}",,ge-mob-pages
Goblin Freesword,Southern Thanalan,,,,"{{Drops|Name=Broken Goblin Gladius||}}, {{Drops|Name=Brass Gobcog||}}, {{Drops|Name=Goblin Mask||}}, {{Drops|Name=Acorn Cookie||}}, {{Drops|Name=Mudstone ||}}",,ge-mob-pages
Goblin Freesword,The Tam-Tara Deepcroft,,,,"{{Drops|Name=Broken Goblin Gladius||}}, {{Drops|Name=Brass Gobcog||}}, {{Drops|Name=Goblin Mask||}}, {{Drops|Name=Acorn Cookie||}}, {{Drops|Name=Mudstone ||}}",,ge-mob-pages
Goblin Freesword,Coerthas Western Highlands,,,,"{{Drops|Name=Broken Goblin Gladius||}}, {{Drops|Name=Brass Gobcog||}}, {{Drops|Name=Goblin Mask||}}, {{Drops|Name=Acorn Cookie||}}, {{Drops|Name=Mudstone ||}}",,ge-mob-pages
Goblin Headman,Murmur Rills,,,,,A,ge-mob-pages
Goblin Mugger,South Shroud,41-55,,71-76,,P,ge-mob-pages
