region,marker_order,label_raw,parsed_candidates,level_text,level_min,level_max,amount_text,amount_min,amount_max,amount_approximation,map_x,map_y,coordinates,coordinate_x,coordinate_y,coordinate_note,aggression_marker,snapshot_url,original_url,shared_slot_verdict
Black Shroud,53,Ixali Strongbeak/Fencer/Bravewing/Fatecaller,"[""Ixali Strongbeak"",""Fencer"",""Bravewing"",""Fatecaller""]",46-49,46,49,,,,unresolved,1150,-725,"22.5,14 (Lower elevation)",22.5,14,(Lower elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,unresolved_shared_slot
Black Shroud,54,Oilbug,"[""Oilbug""]",18-19,18,19,8-12,8,12,exact,1850,-2425,"36.5,48 (Lower elevation)",36.5,48,(Lower elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,55,Antelope Doe,"[""Antelope Doe""]",20-22,20,22,,,,unresolved,1825,-2375,"36,47 (Lower elevation)",36,47,(Lower elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,56,Popoto-opoto,"[""Popoto-opoto""]",25-25,25,25,8-10,8,10,exact,1875,-2300,"37,45.5 (Lower elevation)",37,45.5,(Lower elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,57,Canopy Galago,"[""Canopy Galago""]",20-24,20,24,,,,unresolved,1925,-2200,"38,43.5 (Lower elevation)",38,43.5,(Lower elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,58,Goblin Bouncer,"[""Goblin Bouncer""]",51-54,51,54,,,,unresolved,2125,-2225,"42,44 (Lower elevation)",42,44,(Lower elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,59,Scout Vulture,"[""Scout Vulture""]",51-53,51,53,,,,unresolved,2237.5,-2225,"44.25,44 (Lower elevation)",44.25,44,(Lower elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,60,Bark Eft,"[""Bark Eft""]",51-53,51,53,,,,unresolved,2212.5,-2225,"43.75,44 (Lower elevation)",43.75,44,(Lower elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,61,Antelope Doe,"[""Antelope Doe""]",20-22,20,22,,,,unresolved,1975,-2475,"39,49 (Higher elevation)",39,49,(Higher elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,62,Diremite,"[""Diremite""]",50-54,50,54,,,,unresolved,2000,-2275,"39.5,45 (Higher elevation)",39.5,45,(Higher elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,63,Diremite,"[""Diremite""]",50-54,50,54,,,,unresolved,2025,-2325,"40,46 (Lower elevation)",40,46,(Lower elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,64,Ixali Stillbeak/Squire/Fearcaller/Boundwing,"[""Ixali Stillbeak"",""Squire"",""Fearcaller"",""Boundwing""]",20-22,20,22,,,,unresolved,2075,-2375,"41,47 (Higher elevation)",41,47,(Higher elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,unresolved_shared_slot
Black Shroud,65,Antelope Doe,"[""Antelope Doe""]",27-29,27,29,,,,unresolved,2075,-2425,"41,48 (Higher elevation)",41,48,(Higher elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,66,Ixali Stillbeak/Squire/Fearcaller/Boundwing,"[""Ixali Stillbeak"",""Squire"",""Fearcaller"",""Boundwing""]",23-26,23,26,,,,unresolved,2025,-2525,"40,50 (Higher elevation)",40,50,(Higher elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,unresolved_shared_slot
Black Shroud,67,Antelope Doe,"[""Antelope Doe""]",20-22,20,22,,,,unresolved,1975,-2450,"39,48.5 (Higher elevation)",39,48.5,(Higher elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,68,Ixali Stillbeak/Squire/Fearcaller/Boundwing,"[""Ixali Stillbeak"",""Squire"",""Fearcaller"",""Boundwing""]",27-29,27,29,,,,unresolved,1825,-2675,"36,53 (Lower elevation)",36,53,(Lower elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,unresolved_shared_slot
Black Shroud,69,Young Antelope Stag,"[""Young Antelope Stag""]",24-26,24,26,,,,unresolved,2025,-2575,"40,51 (Lower elevation)",40,51,(Lower elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,70,Tree Slug,"[""Tree Slug""]",27-29,27,29,~12,12,12,approximate,1975,-2675,"39,53",39,53,,0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,71,Tree Slug,"[""Tree Slug""]",20-22,20,22,~12,12,12,approximate,1875,-2625,"37,52",37,52,,0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,72,Tree Slug,"[""Tree Slug""]",23-26,23,26,~12,12,12,approximate,2000,-2275,"39.5,45",39.5,45,,0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,73,Pruned Roselet/Toadtrap,"[""Pruned Roselet"",""Toadtrap""]",30-31,30,31,~8,8,8,approximate,1425,-1625,"28,32",28,32,,1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,unresolved_shared_slot
Black Shroud,74,Pruned Roselet/Toadtrap,"[""Pruned Roselet"",""Toadtrap""]",32-34,32,34,~8,8,8,approximate,1362.5,-1725,"26.75,34",26.75,34,,1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,unresolved_shared_slot
La Noscea,1,Chigoe,"[""Chigoe""]",3-5,3,5,~8,8,8,approximate,1325,-1525,"26,30",26,30,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,2,Chigoe,"[""Chigoe""]",3-5,3,5,~12,12,12,approximate,1275,-1375,"25,27",25,27,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,3,Spriggan Collector,"[""Spriggan Collector""]",8-9,8,9,~12,12,12,approximate,1100,-1250,"21.5,24.5",21.5,24.5,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,4,Spriggan Collector,"[""Spriggan Collector""]",8-9,8,9,~18,18,18,approximate,1350,-1650,"26.5,32.5",26.5,32.5,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,5,Fat Dodo,"[""Fat Dodo""]",26-33,26,33,~6,6,6,approximate,1575,-1575,"31,31",31,31,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,6,Sea Puk,"[""Sea Puk""]",25-28,25,28,~10,10,10,approximate,1575,-1575,"31,31",31,31,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,7,Fat Dodo,"[""Fat Dodo""]",26-33,26,33,~6,6,6,approximate,1625,-1475,"32,29",32,29,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,8,Kobold Acolyte/Footman/Kirkman/Pitman,"[""Kobold Acolyte"",""Footman"",""Kirkman"",""Pitman""]",30-31,30,31,~8,8,8,approximate,1525,-1375,"30,27",30,27,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,unresolved_shared_slot
La Noscea,9,Kobold Acolyte/Footman/Kirkman/Pitman,"[""Kobold Acolyte"",""Footman"",""Kirkman"",""Pitman""]",37-39,37,39,~8,8,8,approximate,1575,-1375,"31,27",31,27,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,unresolved_shared_slot
La Noscea,10,Kobold Acolyte/Footman/Kirkman/Pitman,"[""Kobold Acolyte"",""Footman"",""Kirkman"",""Pitman""]",33-36,33,36,~8,8,8,approximate,1675,-1475,"33,29",33,29,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,unresolved_shared_slot
La Noscea,11,Giant Crab,"[""Giant Crab""]",20-22,20,22,~8,8,8,approximate,1925,-1175,"38,23",38,23,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,12,Giant Crab,"[""Giant Crab""]",27-29,27,29,~16,16,16,approximate,1925,-1275,"38,25",38,25,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,13,Giant Crab,"[""Giant Crab""]",27-29,27,29,~10,10,10,approximate,1725,-1225,"34,24",34,24,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,14,Anemone,"[""Anemone""]",46-49,46,49,~10,10,10,approximate,1925,-1375,"38,27",38,27,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,15,Musk Roseling,"[""Musk Roseling""]",20-20,20,20,~10,10,10,approximate,1825,-1175,"36,23",36,23,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,16,Moraby Mole,"[""Moraby Mole""]",15-17,15,17,~9,9,9,approximate,1625,-1125,"32,22",32,22,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,17,Burble,"[""Burble""]",20-22,20,22,~10,10,10,approximate,1675,-1175,"33,23",33,23,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,18,Giant Crab,"[""Giant Crab""]",20-22,20,22,~12,12,12,approximate,1875,-950,"37,18.5",37,18.5,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,19,Beryl Crab,"[""Beryl Crab""]",20-20,20,20,~10,10,10,approximate,1800,-950,"35.5,18.5",35.5,18.5,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,20,Aldgoat Nanny,"[""Aldgoat Nanny""]",20-24,20,24,~16,16,16,approximate,1775,-925,"35,18",35,18,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,21,Kobold Almsman/Packman/Pickman/Ascetic,"[""Kobold Almsman"",""Packman"",""Pickman"",""Ascetic""]",27-29,27,29,~8,8,8,approximate,1825,-825,"36,16",36,16,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,unresolved_shared_slot
La Noscea,22,Bloodshore Bell,"[""Bloodshore Bell""]",20-24,20,24,~12,12,12,approximate,1925,-775,"38,15",38,15,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,23,Giant Crab,"[""Giant Crab""]",27-29,27,29,~12,12,12,approximate,1775,-725,"35,14",35,14,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,24,Puk Hatchling,"[""Puk Hatchling""]",17-19,17,19,~16,16,16,approximate,825,-1225,"16,24",16,24,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,25,Dodo,"[""Dodo""]",13-16,13,16,~16,16,16,approximate,800,-1100,"15.5,21.5",15.5,21.5,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,26,Puk Hatchling,"[""Puk Hatchling""]",10-12,10,12,~16,16,16,approximate,775,-1075,"15,21",15,21,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,27,Dodo,"[""Dodo""]",10-12,10,12,~16,16,16,approximate,725,-1075,"14,21",14,21,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,28,Puk Hatchling,"[""Puk Hatchling""]",10-12,10,12,~16,16,16,approximate,675,-1025,"13,20",13,20,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,29,Puk Hatchling,"[""Puk Hatchling""]",13-16,13,16,~16,16,16,approximate,675,-1125,"13,22",13,22,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,30,Giant Crab,"[""Giant Crab""]",25-28,25,28,~10,10,10,approximate,475,-1175,"9,23",9,23,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,31,Dodo,"[""Dodo""]",17-19,17,19,~16,16,16,approximate,675,-1225,"13,24",13,24,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,32,Dodo,"[""Dodo""]",13-16,13,16,~16,16,16,approximate,575,-1025,"11,20",11,20,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,33,Puk Hatchling,"[""Puk Hatchling""]",17-19,17,19,~16,16,16,approximate,525,-1225,"10,24",10,24,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,34,Black Crow Archer/Swashbuckler,"[""Black Crow Archer"",""Swashbuckler""]",40-42,40,42,~16,16,16,approximate,425,-825,"8,16",8,16,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,unresolved_shared_slot
La Noscea,35,Toxic Toad,"[""Toxic Toad""]",43-46,43,46,~8,8,8,approximate,375,-975,"7,19",7,19,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,36,Black Crow Archer/Cleaver,"[""Black Crow Archer"",""Cleaver""]",43-46,43,46,~16,16,16,approximate,325,-1050,"6,20.5",6,20.5,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,unresolved_shared_slot
La Noscea,37,Toxic Toad,"[""Toxic Toad""]",47-49,47,49,~8,8,8,approximate,225,-975,"4,19",4,19,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,38,Toxic Toad,"[""Toxic Toad""]",40-42,40,42,~8,8,8,approximate,375,-725,"7,14",7,14,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,39,Toxic Toad,"[""Toxic Toad""]",43-46,43,46,~8,8,8,approximate,475,-675,"9,13",9,13,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,40,Toxic Toad,"[""Toxic Toad""]",47-49,47,49,~8,8,8,approximate,325,-575,"6,11",6,11,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,41,Black Crow Swashbuckler/Cleaver,"[""Black Crow Swashbuckler"",""Cleaver""]",47-49,47,49,~16,16,16,approximate,275,-625,"5,12",5,12,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,unresolved_shared_slot
La Noscea,42,Kobold Mendicant/Vestryman/Patrolman/Quarryman,"[""Kobold Mendicant"",""Vestryman"",""Patrolman"",""Quarryman""]",47-49,47,49,~16,16,16,approximate,1575,-625,"31,12",31,12,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,unresolved_shared_slot
La Noscea,43,Young Raptor,"[""Young Raptor""]",43-46,43,46,~10,10,10,approximate,1325,-575,"26,11",26,11,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,44,Young Raptor,"[""Young Raptor""]",40-42,40,42,~10,10,10,approximate,1375,-475,"27,9",27,9,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,45,Young Raptor,"[""Young Raptor""]",47-49,47,49,~10,10,10,approximate,1375,-625,"27,12",27,12,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,46,Kobold Mendicant/Vestryman/Patrolman/Quarryman,"[""Kobold Mendicant"",""Vestryman"",""Patrolman"",""Quarryman""]",40-42,40,42,~16,16,16,approximate,1275,-350,"25,6.5",25,6.5,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,unresolved_shared_slot
La Noscea,47,Kobold Mendicant/Vestryman/Patrolman/Quarryman,"[""Kobold Mendicant"",""Vestryman"",""Patrolman"",""Quarryman""]",43-46,43,46,~10,10,10,approximate,1225,-275,"24,5",24,5,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,unresolved_shared_slot
La Noscea,48,Kobold Prelate/Mendicant/Vestryman/Patrolman/Quarryman,"[""Kobold Prelate"",""Mendicant"",""Vestryman"",""Patrolman"",""Quarryman""]",50-54,50,54,~16,16,16,approximate,1325,-125,"26,2",26,2,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,unresolved_shared_slot
La Noscea,49,Young Raptor,"[""Young Raptor""]",40-42,40,42,~10,10,10,approximate,975,-325,"19,6",19,6,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,50,Young Raptor,"[""Young Raptor""]",43-46,43,46,~10,10,10,approximate,975,-525,"19,10",19,10,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,51,Young Raptor,"[""Young Raptor""]",47-49,47,49,~10,10,10,approximate,925,-625,"18,12",18,12,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,52,Kobold Mendicant/Vestryman/Patrolman/Quarryman,"[""Kobold Mendicant"",""Vestryman"",""Patrolman"",""Quarryman""]",47-49,47,49,~16,16,16,approximate,925,-675,"18,13",18,13,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,unresolved_shared_slot
La Noscea,53,Cassiopeia,"[""Cassiopeia""]",23-25,23,25,~10,10,10,approximate,2000,-900,"39.5,17.5",39.5,17.5,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,54,Giant Crab,"[""Giant Crab""]",24-26,24,26,~8,8,8,approximate,2050,-925,"40.5,18",40.5,18,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,55,Cassiopeia,"[""Cassiopeia""]",20-22,20,22,~10,10,10,approximate,1925,-1025,"38,20",38,20,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,56,Cassiopeia,"[""Cassiopeia""]",27-29,27,29,~10,10,10,approximate,1875,-1325,"37,26",37,26,,0,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,57,Nestling Buzzard,"[""Nestling Buzzard""]",30-32,30,32,~12,12,12,approximate,1600,-1450,"31.5,28.5",31.5,28.5,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,58,Yarzon Scavenger,"[""Yarzon Scavenger""]",33-36,33,36,~12,12,12,approximate,1675,-1425,"33,28",33,28,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,59,Yarzon Scavenger,"[""Yarzon Scavenger""]",37-39,37,39,~12,12,12,approximate,1525,-1400,"30,27.5",30,27.5,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,60,Yarzon Scavenger,"[""Yarzon Scavenger""]",30-32,30,32,~12,12,12,approximate,1612.5,-1500,"31.75,29.5",31.75,29.5,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,61,Yarzon Scavenger,"[""Yarzon Scavenger""]",30-32,30,32,~12,12,12,approximate,1600,-1600,"31.5,31.5",31.5,31.5,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,62,Nestling Buzzard,"[""Nestling Buzzard""]",37-39,37,39,~12,12,12,approximate,1500,-1600,"29.5,31.5",29.5,31.5,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
La Noscea,63,Nestling Buzzard,"[""Nestling Buzzard""]",33-36,33,36,~12,12,12,approximate,1450,-1550,"28.5,30.5",28.5,30.5,,1,https://web.archive.org/web/20120702115825/http://www.mooglebox.com/la-noscea/index.php,http://www.mooglebox.com/la-noscea/index.php,single_label
Thanalan,1,Corroded Coblyn,"[""Corroded Coblyn""]",1-1,1,1,15-20,15,20,exact,1325,-1425,"26,28",26,28,,0,https://web.archive.org/web/20120605034042/http://mooglebox.com/thanalan/index.php,http://www.mooglebox.com/thanalan/index.php,single_label
Thanalan,2,Corroded Coblyn,"[""Corroded Coblyn""]",2-3,2,3,11-15,11,15,exact,1275,-1275,"25,25",25,25,,0,https://web.archive.org/web/20120605034042/http://mooglebox.com/thanalan/index.php,http://www.mooglebox.com/thanalan/index.php,single_label
Thanalan,3,Chigoe,"[""Chigoe""]",4-5,4,5,11-15,11,15,exact,1175,-1275,"23,25",23,25,,1,https://web.archive.org/web/20120605034042/http://mooglebox.com/thanalan/index.php,http://www.mooglebox.com/thanalan/index.php,single_label
Thanalan,4,Spriggan Collector,"[""Spriggan Collector""]",8-9,8,9,21-25,21,25,exact,1125,-1325,"22,26",22,26,,0,https://web.archive.org/web/20120605034042/http://mooglebox.com/thanalan/index.php,http://www.mooglebox.com/thanalan/index.php,single_label
Thanalan,5,Corroded Coblyn,"[""Corroded Coblyn""]",2-3,2,3,11-15,11,15,exact,1375,-1275,"27,25",27,25,,0,https://web.archive.org/web/20120605034042/http://mooglebox.com/thanalan/index.php,http://www.mooglebox.com/thanalan/index.php,single_label
Thanalan,6,Chigoe,"[""Chigoe""]",4-5,4,5,11-15,11,15,exact,1425,-1375,"28,27",28,27,,1,https://web.archive.org/web/20120605034042/http://mooglebox.com/thanalan/index.php,http://www.mooglebox.com/thanalan/index.php,single_label
Thanalan,7,Inferno Drake,"[""Inferno Drake""]",75-79,75,79,10,10,10,exact,1625,-1525,"32,30",32,30,,1,https://web.archive.org/web/20120605034042/http://mooglebox.com/thanalan/index.php,http://www.mooglebox.com/thanalan/index.php,single_label
Thanalan,8,Sphene Doblyn,"[""Sphene Doblyn""]",56-58,56,58,6,6,6,exact,1525,-1825,"30,36",30,36,,0,https://web.archive.org/web/20120605034042/http://mooglebox.com/thanalan/index.php,http://www.mooglebox.com/thanalan/index.php,single_label
Thanalan,9,Nutgrabber Marmot,"[""Nutgrabber Marmot""]",10-10,10,10,6-10,6,10,exact,1425,-1175,"28,23",28,23,,0,https://web.archive.org/web/20120605034042/http://mooglebox.com/thanalan/index.php,http://www.mooglebox.com/thanalan/index.php,single_label
Thanalan,10,Amalj'aa Drudge,"[""Amalj'aa Drudge""]",28-30,28,30,8-10,8,10,exact,2075,-1625,"41,32",41,32,,1,https://web.archive.org/web/20120605034042/http://mooglebox.com/thanalan/index.php,http://www.mooglebox.com/thanalan/index.php,single_label
Thanalan,11,Amalj'aa Lancer/Divinator/Bowyer/Drubber,"[""Amalj'aa Lancer"",""Divinator"",""Bowyer"",""Drubber""]",47-49,47,49,8,8,8,exact,2075,-1675,"41,33",41,33,,1,https://web.archive.org/web/20120605034042/http://mooglebox.com/thanalan/index.php,http://www.mooglebox.com/thanalan/index.php,unresolved_shared_slot
