anchor_index,capture,lane_index,lane,direction,opcode,relative_event,neighbor_direction_event_index,same_frame,frame_index,subevent_index,subevent_offset,subevent_type,neighbor_opcode,transport_source_actor_id_hex,transport_target_actor_id_hex,capture_delta_us,outer_value_delta
31,teleport_to_gridania.pcapng,0,main,s2c,0x00da,1,88,yes,24,2,112,0x0003,0x0130,0x029b2941,0x029b2941,0,0
31,teleport_to_gridania.pcapng,0,main,s2c,0x00da,2,89,no,25,0,0,0x0003,0x017a,0x029b2941,0x029b2941,381495,260
31,teleport_to_gridania.pcapng,0,main,s2c,0x00da,3,90,no,26,0,0,0x0003,0x0001,0x029b2941,0x029b2941,722230,704
32,teleport_to_gridania.pcapng,0,main,s2c,0x00da,-3,102,no,29,0,0,0x0003,0x0001,0x029b2941,0x029b2941,-1031215,-1090
32,teleport_to_gridania.pcapng,0,main,s2c,0x00da,-2,103,no,30,0,0,0x0003,0x00cf,0x44d035d4,0x029b2941,-552875,-354
32,teleport_to_gridania.pcapng,0,main,s2c,0x00da,-1,104,no,31,0,0,0x0003,0x0001,0x029b2941,0x029b2941,-223037,-20
32,teleport_to_gridania.pcapng,0,main,s2c,0x00da,1,106,no,33,0,0,0x0003,0x00cf,0x44d00040,0x029b2941,370163,221
32,teleport_to_gridania.pcapng,0,main,s2c,0x00da,2,107,no,33,1,80,0x0003,0x00cf,0x44d00045,0x029b2941,370163,221
32,teleport_to_gridania.pcapng,0,main,s2c,0x00da,3,108,no,33,2,160,0x0003,0x00cf,0x44d00043,0x029b2941,370163,221
33,war_quest_update2.pcapng,0,main,s2c,0x00e1,-3,150,no,72,0,0,0x0003,0x018d,0x029b2941,0x029b2941,-366509,-527
33,war_quest_update2.pcapng,0,main,s2c,0x00e1,-2,151,no,73,0,0,0x0003,0x0001,0x029b2941,0x029b2941,-366509,-499
33,war_quest_update2.pcapng,0,main,s2c,0x00e1,-1,152,no,74,0,0,0x0003,0x00cf,0x45606e26,0x029b2941,0,-116
33,war_quest_update2.pcapng,0,main,s2c,0x00e1,1,154,no,76,0,0,0x0003,0x00ce,0x45606e23,0x029b2941,363718,422
33,war_quest_update2.pcapng,0,main,s2c,0x00e1,2,155,no,76,1,72,0x0003,0x00cf,0x45606e23,0x029b2941,363718,422
33,war_quest_update2.pcapng,0,main,s2c,0x00e1,3,156,no,77,0,0,0x0003,0x0001,0x029b2941,0x029b2941,730326,601
