record_index,capture,scenario_id,lane_index,frame_index,subevent_index,packet_index,record_in_packet,stream_offset,source_actor_id,destination_actor_id,target_marker,property_hash,value_width,value_hex,value_u_le,value_f32
1836,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,772,17,107,0,1,1152385089,43723073,,0xc0f66df7,4,6666663f,1063675494,0.899999976
1837,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,772,17,107,1,10,1152385089,43723073,,0xe14b0ca8,1,01,1,
1838,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,772,17,107,2,16,1152385089,43723073,,0x2138fd71,1,01,1,
1839,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,772,17,107,3,22,1152385089,43723073,,0x7b675313,1,01,1,
1840,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,772,17,107,4,28,1152385089,43723073,,0xfbfbcfb1,1,01,1,
1841,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,772,17,107,5,34,1152385089,43723073,,0x4232bcaa,2,5000,80,
1842,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,772,17,107,6,41,1152385089,43723073,,0x7bcdfb69,2,5000,80,
1843,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,772,17,107,7,48,1152385089,43723073,,0x13f89710,2,6e00,110,
1844,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,772,17,107,8,55,1152385089,43723073,,0x3c95d5c5,2,6e00,110,
1845,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,772,17,107,9,62,1152385089,43723073,,0x7532ce24,1,03,3,
1846,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,772,17,107,10,68,1152385089,43723073,,0x584fcfe3,1,03,3,
1847,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,772,17,107,11,74,1152385089,43723073,,0x96063588,2,0100,1,
1848,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,772,17,107,12,81,1152385089,43723073,,0x8e9c05be,1,01,1,
1849,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,18,108,0,1,43723073,43723073,,0x0db5a5bf,1,0a,10,
1850,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,18,108,1,7,43723073,43723073,,0xc0f66df7,4,3333f340,1089680179,7.5999999
1851,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,18,108,2,16,43723073,43723073,,0xe14b0ca8,1,01,1,
1852,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,18,108,3,22,43723073,43723073,,0x2138fd71,1,01,1,
1853,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,18,108,4,28,43723073,43723073,,0x7b675313,1,01,1,
1854,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,18,108,5,34,43723073,43723073,,0xfbfbcfb1,1,01,1,
1855,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,18,108,6,40,43723073,43723073,,0x4232bcaa,2,f803,1016,
1856,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,18,108,7,47,43723073,43723073,,0x7bcdfb69,2,f803,1016,
1857,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,18,108,8,54,43723073,43723073,,0x13f89710,2,2402,548,
1858,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,18,108,9,61,43723073,43723073,,0x3c95d5c5,2,2402,548,
1859,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,18,108,10,68,43723073,43723073,,0x7532ce24,1,03,3,
1860,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,18,108,11,74,43723073,43723073,,0x96063588,2,1f00,31,
1861,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,18,108,12,81,43723073,43723073,,0x8c44e56b,4,ffffffff,4294967295,nan
1862,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,18,108,13,90,43723073,43723073,,0x8c336da3,4,ffffffff,4294967295,nan
1863,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,18,108,14,99,43723073,43723073,,0x6d5633b9,4,ffffffff,4294967295,nan
1864,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,18,108,15,108,43723073,43723073,,0xd5c5254a,4,ffffffff,4294967295,nan
1865,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,19,109,0,1,43723073,43723073,,0x01e244c5,4,ffffffff,4294967295,nan
1866,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,19,109,1,10,43723073,43723073,,0x50ffb0a4,4,ffffffff,4294967295,nan
1867,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,19,109,2,19,43723073,43723073,,0x415881ad,4,ffffffff,4294967295,nan
1868,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,19,109,3,28,43723073,43723073,,0x61816dfe,4,ffffffff,4294967295,nan
1869,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,19,109,4,37,43723073,43723073,,0x0cca47c4,1,01,1,
1870,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,19,109,5,43,43723073,43723073,,0xb3663189,1,01,1,
1871,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,19,109,6,49,43723073,43723073,,0x95bcf98a,1,01,1,
1872,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,19,109,7,55,43723073,43723073,,0xfdd1f6de,1,01,1,
1873,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,19,109,8,61,43723073,43723073,,0xdc4f03f9,1,01,1,
1874,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,19,109,9,67,43723073,43723073,,0x41991fca,1,01,1,
1875,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,19,109,10,73,43723073,43723073,,0x647a29a8,2,7300,115,
1876,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,19,109,11,80,43723073,43723073,,0x939e884a,2,7b00,123,
1877,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,19,109,12,87,43723073,43723073,,0x416571ac,2,6e00,110,
1878,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,19,109,13,94,43723073,43723073,,0x2dfbc13a,2,5300,83,
1879,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,19,109,14,101,43723073,43723073,,0x0e704141,2,6a00,106,
1880,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,19,109,15,108,43723073,43723073,,0x6ccaf8b3,2,5e00,94,
1881,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,19,109,16,115,43723073,43723073,,0x79c7ecff,2,b500,181,
1882,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,20,110,0,1,43723073,43723073,,0xe17d8c7a,2,b500,181,
1883,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,20,110,1,8,43723073,43723073,,0x204cf942,2,b500,181,
1884,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,20,110,2,15,43723073,43723073,,0x1c2aec73,2,b500,181,
1885,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,20,110,3,22,43723073,43723073,,0x5fc56d16,2,bf00,191,
1886,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,20,110,4,29,43723073,43723073,,0x64803e98,2,b500,181,
1887,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,20,110,5,36,43723073,43723073,,0x91cd44e7,2,b600,182,
1888,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,20,110,6,43,43723073,43723073,,0x11b1b22d,2,bc00,188,
1889,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,20,110,7,50,43723073,43723073,,0xba51c4e1,2,c400,196,
1890,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,20,110,8,57,43723073,43723073,,0x8cae90db,2,a900,169,
1891,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,20,110,9,64,43723073,43723073,,0x1f3dacc5,2,c900,201,
1892,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,20,110,10,71,43723073,43723073,,0xa329599a,2,cf00,207,
1893,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,20,110,11,78,43723073,43723073,,0x6b6e041d,2,d300,211,
1894,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,20,110,12,85,43723073,43723073,,0xeb90baab,2,cc00,204,
1895,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,20,110,13,92,43723073,43723073,,0xd57dc284,2,d400,212,
1896,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,20,110,14,99,43723073,43723073,,0x17ab37ef,2,d400,212,
1897,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,20,110,15,106,43723073,43723073,,0x573fe04c,4,0000803f,1065353216,1
1898,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,21,111,0,1,43723073,43723073,,0xbb9cc775,4,0000803e,1048576000,0.25
1899,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,21,111,1,10,43723073,43723073,,0xdba408a0,4,ce180000,6350,8.89824525e-42
1900,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,21,111,2,19,43723073,43723073,,0x0e4920e3,4,b51f0000,8117,1.13743396e-41
1901,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,21,111,3,28,43723073,43723073,,0xacc58f29,4,8f240000,9359,1.31147523e-41
1902,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,21,111,4,37,43723073,43723073,,0xdf99e003,4,c4780000,30916,4.33225433e-41
1903,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,21,111,5,46,43723073,43723073,,0x7b2f0a94,4,ab0e0000,3755,5.26187573e-42
1904,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,21,111,6,55,43723073,43723073,,0x748287f9,4,fd6a0000,27389,3.83801636e-41
1905,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,21,111,7,64,43723073,43723073,,0x6047e4bd,4,63c70000,51043,7.15264775e-41
1906,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,21,111,8,73,43723073,43723073,,0x2a4f53c7,4,2d040000,1069,1.49798806e-42
1907,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,21,111,9,82,43723073,43723073,,0xe764c45d,4,0952f0a0,2700104201,-4.07118678e-19
1908,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,21,111,10,91,43723073,43723073,,0xed6de041,4,0a52f0a0,2700104202,-4.07118704e-19
1909,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,21,111,11,100,43723073,43723073,,0x89098566,4,e32ef0a0,2700095203,-4.06886085e-19
1910,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,21,111,12,109,43723073,43723073,,0x6161a641,4,e42ef0a0,2700095204,-4.06886111e-19
1911,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,22,112,0,1,43723073,43723073,,0xf01787b7,4,0d52f0a0,2700104205,-4.07118781e-19
1912,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,22,112,1,10,43723073,43723073,,0x69579da7,4,0e52f0a0,2700104206,-4.07118807e-19
1913,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,22,112,2,19,43723073,43723073,,0x7da83ade,4,0f52f0a0,2700104207,-4.07118833e-19
1914,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,22,112,3,28,43723073,43723073,,0xad16c7ae,4,e92ef0a0,2700095209,-4.0688624e-19
1915,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,22,112,4,37,43723073,43723073,,0xb5993ddc,4,ea2ef0a0,2700095210,-4.06886266e-19
1916,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,22,112,5,46,43723073,43723073,,0x38c8b08f,4,e52ef0a0,2700095205,-4.06886137e-19
1917,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,22,112,6,55,43723073,43723073,,0x39f384cf,4,e72ef0a0,2700095207,-4.06886188e-19
1918,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,22,112,7,64,43723073,43723073,,0xf053ac1a,4,eb2ef0a0,2700095211,-4.06886292e-19
1919,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,22,112,8,73,43723073,43723073,,0xc9045217,4,fc55f0a0,2700105212,-4.07144812e-19
1920,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,22,112,9,82,43723073,43723073,,0x470d61da,4,fd55f0a0,2700105213,-4.07144837e-19
1921,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,22,112,10,91,43723073,43723073,,0x7efd97e4,4,3973f0a0,2700112697,-4.07338294e-19
1922,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,22,112,11,100,43723073,43723073,,0x3e1a660f,4,ff55f0a0,2700105215,-4.07144889e-19
1923,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,22,112,12,109,43723073,43723073,,0xca132bc5,4,0e6af0a0,2700110350,-4.07277626e-19
1924,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,23,113,0,1,43723073,43723073,,0xd71d3b0e,4,106af0a0,2700110352,-4.07277677e-19
1925,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,23,113,1,10,43723073,43723073,,0xf642f974,4,166af0a0,2700110358,-4.07277833e-19
1926,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,23,113,2,19,43723073,43723073,,0x80dfda92,4,d26af0a0,2700110546,-4.07282692e-19
1927,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,23,113,3,28,43723073,43723073,,0x469403ba,4,146af0a0,2700110356,-4.07277781e-19
1928,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,23,113,4,37,43723073,43723073,,0x958051f1,4,056af0a0,2700110341,-4.07277393e-19
1929,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,23,113,5,46,43723073,43723073,,0x2f5ac0cc,4,066af0a0,2700110342,-4.07277419e-19
1930,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,23,113,6,55,43723073,43723073,,0x24224121,4,046af0a0,2700110340,-4.07277367e-19
1931,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,23,113,7,64,43723073,43723073,,0xe7ed17a0,4,096af0a0,2700110345,-4.07277496e-19
1932,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,23,113,8,73,43723073,43723073,,0xf2e07ff4,4,0a6af0a0,2700110346,-4.07277522e-19
1933,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,23,113,9,82,43723073,43723073,,0x03aede7b,4,126af0a0,2700110354,-4.07277729e-19
1934,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,23,113,10,91,43723073,43723073,,0x8a676a74,4,0f6af0a0,2700110351,-4.07277652e-19
1935,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,23,113,11,100,43723073,43723073,,0x7ff0ee64,1,01,1,
1936,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,23,113,12,106,43723073,43723073,,0x9f278594,1,01,1,
1937,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,23,113,13,112,43723073,43723073,,0x1c420f6c,1,01,1,
1938,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,24,114,0,1,43723073,43723073,,0x69263cb7,1,01,1,
1939,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,24,114,1,7,43723073,43723073,,0x5a0a4034,1,01,1,
1940,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,24,114,2,13,43723073,43723073,,0xc5c48a58,1,01,1,
1941,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,24,114,3,19,43723073,43723073,,0x8e4e1fb2,1,01,1,
1942,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,24,114,4,25,43723073,43723073,,0x318836c0,1,01,1,
1943,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,24,114,5,31,43723073,43723073,,0x419b046f,1,01,1,
1944,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,24,114,6,37,43723073,43723073,,0x8a5cbc5b,1,01,1,
1945,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,24,114,7,43,43723073,43723073,,0xabb78bce,1,01,1,
1946,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,24,114,8,49,43723073,43723073,,0x6b060065,1,01,1,
1947,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,24,114,9,55,43723073,43723073,,0x18734cc5,1,01,1,
1948,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,24,114,10,61,43723073,43723073,,0x0cdd66e8,1,01,1,
1949,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,24,114,11,67,43723073,43723073,,0xb9c13d96,1,01,1,
1950,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,24,114,12,73,43723073,43723073,,0x6065f862,1,01,1,
1951,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,24,114,13,79,43723073,43723073,,0xa6d426c4,1,01,1,
1952,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,24,114,14,85,43723073,43723073,,0x7cc10854,1,01,1,
1953,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,24,114,15,91,43723073,43723073,,0xf55d07a5,1,01,1,
1954,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,24,114,16,97,43723073,43723073,,0xe4567838,1,01,1,
1955,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,24,114,17,103,43723073,43723073,,0x2bcd68aa,1,20,32,
1956,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,24,114,18,109,43723073,43723073,,0xc8c3a058,1,01,1,
1957,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,24,114,19,115,43723073,43723073,,0xadef0b22,1,01,1,
1958,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,25,115,0,1,43723073,43723073,,0x2526d379,1,01,1,
1959,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,25,115,1,7,43723073,43723073,,0x58cd7cc0,1,01,1,
1960,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,25,115,2,13,43723073,43723073,,0xfcdfdcac,1,01,1,
1961,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,25,115,3,19,43723073,43723073,,0x98bcf012,1,01,1,
1962,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,25,115,4,25,43723073,43723073,,0x5f0f0e64,1,01,1,
1963,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,25,115,5,31,43723073,43723073,,0x671ef2b1,1,01,1,
1964,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,25,115,6,37,43723073,43723073,,0x1b37117e,1,01,1,
1965,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,25,115,7,43,43723073,43723073,,0x4b2a7d17,1,01,1,
1966,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,25,115,8,49,43723073,43723073,,0x85aafe74,1,01,1,
1967,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,25,115,9,55,43723073,43723073,,0x1bc46a06,1,01,1,
1968,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,25,115,10,61,43723073,43723073,,0x8d974f1c,4,edefe050,1356918765,3.01905613e+10
1969,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,25,115,11,70,43723073,43723073,,0x5272eae9,4,01f0e050,1356918785,3.01906022e+10
1970,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,25,115,12,79,43723073,43723073,,0x28887bd6,4,e8efe050,1356918760,3.0190551e+10
1971,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,25,115,13,88,43723073,43723073,,0xa2478ea5,4,0c23e050,1356866316,3.00831457e+10
1972,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,25,115,14,97,43723073,43723073,,0x4f365e47,4,01f0e050,1356918785,3.01906022e+10
1973,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,25,115,15,106,43723073,43723073,,0x1662a1bf,4,10f0e050,1356918800,3.0190633e+10
1974,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,26,116,0,1,43723073,43723073,,0xc642e791,4,5bf0e050,1356918875,3.01907866e+10
1975,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,26,116,1,10,43723073,43723073,,0x04a05dae,4,3df0e050,1356918845,3.01907251e+10
1976,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,26,116,2,19,43723073,43723073,,0x36b51229,4,01f0e050,1356918785,3.01906022e+10
1977,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,26,116,3,28,43723073,43723073,,0x9db2fd87,4,68f0e050,1356918888,3.01908132e+10
1978,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,26,116,4,37,43723073,43723073,,0x9fd558d0,4,33f0e050,1356918835,3.01907046e+10
1979,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,26,116,5,46,43723073,43723073,,0x9a378611,4,edefe050,1356918765,3.01905613e+10
1980,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,26,116,6,55,43723073,43723073,,0xd68fa0e1,4,0ff1e050,1356919055,3.01911552e+10
1981,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,26,116,7,64,43723073,43723073,,0xbca83abb,4,32b3df50,1356837682,3.00245033e+10
1982,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,26,116,8,73,43723073,43723073,,0x45b85823,4,faacdf50,1356836090,3.00212429e+10
1983,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,26,116,9,82,43723073,43723073,,0x5883d746,4,3aaddf50,1356836154,3.0021374e+10
1984,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,26,116,10,91,43723073,43723073,,0xedad792f,4,a1d4ca50,1355469985,2.72234598e+10
1985,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,26,116,11,100,43723073,43723073,,0x5d9dbe46,4,79745550,1347777657,1.43247206e+10
1986,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,26,116,12,109,43723073,43723073,,0x22bc605f,4,79745550,1347777657,1.43247206e+10
1987,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,27,117,0,1,43723073,43723073,,0x10f6fd7c,4,0c23e050,1356866316,3.00831457e+10
1988,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,27,117,1,10,43723073,43723073,,0xebbefbea,4,79745550,1347777657,1.43247206e+10
1989,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,27,117,2,19,43723073,43723073,,0xe058a98c,4,79745550,1347777657,1.43247206e+10
1990,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,27,117,3,28,43723073,43723073,,0x3c674537,4,79745550,1347777657,1.43247206e+10
1991,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,27,117,4,37,43723073,43723073,,0x49ced7cd,4,79745550,1347777657,1.43247206e+10
1992,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,27,117,5,46,43723073,43723073,,0x63d4b0db,4,79745550,1347777657,1.43247206e+10
1993,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,27,117,6,55,43723073,43723073,,0x7fc8b15d,4,79745550,1347777657,1.43247206e+10
1994,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,27,117,7,64,43723073,43723073,,0x6b9c6437,4,79745550,1347777657,1.43247206e+10
1995,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,27,117,8,73,43723073,43723073,,0x94574d0a,4,79745550,1347777657,1.43247206e+10
1996,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,27,117,9,82,43723073,43723073,,0x97e78c4e,4,79745550,1347777657,1.43247206e+10
1997,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,27,117,10,91,43723073,43723073,,0x4db13e27,4,79745550,1347777657,1.43247206e+10
1998,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,27,117,11,100,43723073,43723073,,0x620811c8,2,0a00,10,
1999,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,27,117,12,107,43723073,43723073,,0x3dd87222,2,1e00,30,
2000,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,27,117,13,114,43723073,43723073,,0x079d8d67,2,0500,5,
2001,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,28,118,0,1,43723073,43723073,,0xce62bf5c,2,1e00,30,
2002,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,28,118,1,8,43723073,43723073,,0xfa5e83e4,2,2d00,45,
2003,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,28,118,2,15,43723073,43723073,,0x461773ff,2,7800,120,
2004,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,28,118,3,22,43723073,43723073,,0x68efd1dc,2,5a00,90,
2005,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,28,118,4,29,43723073,43723073,,0x6b3c0b03,2,1e00,30,
2006,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,28,118,5,36,43723073,43723073,,0x7b71de03,2,3c00,60,
2007,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,28,118,6,43,43723073,43723073,,0x2fba29dc,2,5000,80,
2008,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,28,118,7,50,43723073,43723073,,0x438e4fe6,2,0a00,10,
2009,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,28,118,8,57,43723073,43723073,,0x5ea09ecd,2,2c01,300,
2010,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,0,854,28,118,9,64,43723073,43723073,,0x44849402,4,0000803f,1065353216,1
